"","prvblf","othblf","pubact","prvact","iden1","iden2","wave","sex","age","educ","work","ethnic","denom","marital","pubblf1","pubblf2","pubblf3","pubblf4","othblf2","pubact3","prvact2"
"21",5,1,7,1,1,2,2,"Male",85,"High School","Unemployed","White","Christian","Married",2,4,2,4,2,1,2
"22",7,1,6,1,1,1,2,"Female",50,"High School","Full Time","Black","None","Single",3,5,1,1,2,1,1
"23",10,10,7,1,1,1,2,"Female",41,"High School","Full Time","Black","None","Married",1,4,4,2,2,1,1
"24",10,1,6,1,1,2,2,"Male",35,"High School","Full Time","Hispanic","Catholic","Married",2,4,4,4,1,1,4
"25",8,1,6,1,1,1,2,"Female",49,"High School","Full Time","White","Other","Married",3,2,4,2,2,0,2
"26",10,1,3,1,1,1,2,"Male",34,"High School","Full Time","White","Christian","Married",2,2,4,2,2,1,2
"27",7,1,7,0,2,3,2,"Female",38,"High School","Full Time","Other","Christian","Married",2,4,4,2,1,0,3
"28",10,1,2,1,1,1,2,"Male",84,"High School","Unemployed","Black","Christian","Married",2,2,2,2,2,2,1
"29",7,1,4,1,1,2,2,"Female",44,"High School","Full Time","White","Catholic","Married",2,4,4,4,2,2,2
"30",8,-2,6,1,1,2,2,"Female",22,"High School","Other","White","Christian","Single",2,-2,-2,-2,2,0,2
"31",6,5,6,0,3,4,2,"Male",25,"High School","Other","Other","None","Single",3,4,4,4,2,1,3
"32",8,1,2,1,1,1,2,"Male",81,"High School","Unemployed","White","Other","Married",1,4,1,4,2,2,1
"33",10,1,1,1,1,1,2,"Female",62,"High School","Housewife","White","Other","Married",4,4,1,4,2,2,1
"34",5,5,5,0,1,3,2,"Male",28,"High School","Full Time","White","Christian","Single",2,2,2,2,2,0,2
"35",7,1,6,1,1,2,2,"Male",71,"High School","Self Employed","White","Catholic","Married",2,4,4,2,2,1,3
"36",10,1,4,1,1,1,2,"Male",21,"High School","Full Time","Black","Other","Single",1,1,2,1,2,2,2
"37",6,5,4,0,2,3,2,"Male",44,"High School","Full Time","White","None","Separated",2,4,4,4,2,0,2
"38",10,5,2,1,1,1,2,"Female",75,"High School","Unemployed","White","Catholic","Widowed",1,4,2,4,2,1,2
"39",8,1,7,1,1,3,2,"Male",53,"High School","Full Time","White","Catholic","Single",3,4,2,5,2,0,3
"40",10,1,5,1,1,3,2,"Female",61,"High School","Self Employed","White","None","Married",3,4,2,5,2,0,3
"41",10,1,2,1,1,1,2,"Male",69,"High School","Unemployed","White","Catholic","Married",1,4,2,2,2,2,1
"42",10,1,2,1,1,1,2,"Female",77,"High School","Unemployed","White","Catholic","Widowed",2,2,1,4,2,2,2
"43",7,5,6,1,3,1,2,"Male",18,"High School","Other","White","Other","Single",2,2,2,2,2,1,3
"44",5,1,4,0,2,3,2,"Male",69,"High School","Unemployed","White","Judaism","Married",3,5,1,5,2,1,1
"45",10,1,7,0,2,1,2,"Male",42,"Primary School","Full Time","Hispanic","Catholic","Married",1,5,2,2,2,0,3
"46",3,3,7,0,2,3,2,"Male",61,"High School","Unemployed","White","Catholic","Married",3,5,1,4,2,1,2
"47",10,1,1,1,1,1,2,"Female",63,"High School","Full Time","White","Christian","Separated",1,2,5,1,2,2,1
"48",9,1,3,1,2,2,2,"Male",54,"High School","Self Employed","White","Other","Married",3,5,2,4,2,1,1
"49",10,1,1,1,1,1,2,"Male",74,"Primary School","Unemployed","Black","Other","Married",1,2,2,2,2,2,1
"50",10,1,1,1,1,1,2,"Male",83,"High School","Unemployed","White","Christian","Married",1,1,4,1,2,2,1
"51",10,1,2,1,1,1,2,"Female",69,"High School","Unemployed","White","Christian","Married",1,4,5,1,2,2,2
"52",8,2,7,1,2,2,2,"Male",50,"High School","Full Time","White","Catholic","Single",2,2,2,2,2,0,3
"53",6,1,6,1,1,3,2,"Male",73,"High School","Unemployed","White","Christian","Single",2,5,1,5,2,1,3
"54",8,1,4,0,2,2,2,"Male",76,"High School","Unemployed","White","Catholic","Married",2,4,4,5,2,0,3
"55",8,2,3,0,2,2,2,"Male",38,"High School","Full Time","White","Catholic","Married",3,4,2,4,2,1,2
"56",10,2,7,1,1,2,2,"Female",44,"High School","Housewife","White","Other","Married",2,4,4,4,2,0,1
"57",10,1,1,1,1,1,2,"Male",49,"High School","Full Time","Black","Christian","Married",1,1,4,2,2,2,1
"58",7,1,7,1,2,3,2,"Female",41,"High School","Full Time","White","Christian","Separated",2,4,2,2,2,0,2
"59",7,6,4,0,2,2,2,"Male",43,"High School","Full Time","White","Christian","Single",3,2,4,4,2,1,2
"60",10,1,1,1,1,1,2,"Male",84,"High School","Unemployed","White","Christian","Widowed",1,2,4,4,2,2,2
"61",10,1,4,1,2,1,2,"Female",67,"High School","Unemployed","White","Christian","Married",1,4,2,4,2,1,1
"62",10,1,1,1,1,1,2,"Female",55,"High School","Self Employed","White","Christian","Married",1,2,5,1,2,2,2
"63",10,5,6,1,1,2,2,"Male",53,"High School","Full Time","Hispanic","Catholic","Separated",1,4,4,4,1,1,1
"64",9,1,4,1,1,2,2,"Female",44,"High School","Full Time","White","Christian","Single",2,4,1,5,2,1,3
"65",10,1,2,1,1,1,2,"Male",61,"High School","Full Time","White","Christian","Married",2,2,4,2,2,1,2
"66",10,1,7,1,1,2,2,"Female",51,"Primary School","Full Time","White","Other","Married",3,4,4,4,2,0,3
"67",1,1,7,0,2,4,2,"Male",53,"High School","Full Time","Hispanic","None","Single",3,4,2,4,1,0,3
"68",8,3,6,1,1,2,2,"Male",74,"Some College","Unemployed","Black","Christian","Separated",2,4,2,4,2,0,3
"69",8,6,2,1,1,2,2,"Male",90,"High School","Unemployed","White","Christian","Married",1,-2,-2,-2,2,2,2
"70",1,1,7,0,2,4,2,"Male",57,"High School","Self Employed","Hispanic","None","Married",3,5,1,5,2,0,2
"71",10,1,2,1,1,1,2,"Male",68,"High School","Full Time","White","Christian","Married",1,2,4,1,2,2,3
"72",10,1,2,1,1,1,2,"Female",86,"High School","Housewife","White","Catholic","Married",2,4,4,2,2,1,1
"73",10,1,6,1,1,1,2,"Male",56,"High School","Other","White","None","Widowed",1,1,5,5,2,1,1
"74",4,1,7,0,2,3,2,"Male",65,"High School","Full Time","White","None","Separated",1,4,1,5,2,0,2
"75",10,1,1,1,1,1,2,"Female",74,"High School","Housewife","White","Christian","Married",1,1,2,2,2,2,1
"76",9,1,3,1,1,2,2,"Female",38,"Some College","Full Time","White","Catholic","Married",3,4,4,4,2,1,3
"77",9,1,7,1,1,3,2,"Female",61,"High School","Unemployed","White","Christian","Married",3,1,1,1,2,1,3
"78",10,3,7,1,1,3,2,"Male",51,"High School","Unemployed","White","None","Separated",3,4,1,5,2,0,1
"79",9,1,2,1,1,1,2,"Male",63,"High School","Self Employed","White","Catholic","Married",1,4,2,2,2,1,2
"80",10,1,5,1,1,2,2,"Male",77,"High School","Unemployed","White","Christian","Married",2,4,2,2,2,1,1
"81",10,-2,3,1,2,2,2,"Male",34,"High School","Full Time","Black","Other","Single",2,4,4,4,2,1,1
"82",5,1,1,0,3,2,2,"Male",53,"High School","Full Time","Hispanic","Catholic","Married",2,5,5,5,2,2,4
"83",10,3,6,1,1,1,2,"Male",61,"High School","Full Time","White","Christian","Married",2,4,2,4,2,0,1
"84",10,1,1,1,1,1,2,"Female",72,"High School","Unemployed","White","Catholic","Separated",1,4,2,4,2,2,1
"85",10,1,2,1,1,1,2,"Female",83,"High School","Housewife","White","Christian","Married",2,4,4,2,2,2,2
"86",9,1,2,1,1,2,2,"Female",86,"High School","Unemployed","White","Christian","Widowed",1,2,2,2,2,2,2
"87",10,1,1,1,1,1,2,"Female",63,"High School","Full Time","Black","Christian","Widowed",2,4,4,4,2,2,2
"88",10,5,7,1,1,1,2,"Male",80,"High School","Unemployed","Hispanic","None","Widowed",1,-2,2,4,2,0,3
"89",10,3,7,1,1,3,2,"Male",60,"High School","Full Time","White","None","Married",3,2,4,4,2,1,2
"90",10,1,1,1,2,1,2,"Female",64,"High School","Full Time","White","Christian","Separated",3,4,4,4,2,2,1
"91",10,5,2,1,1,1,2,"Male",71,"High School","Housewife","Other","Christian","Married",2,5,4,4,2,2,1
"92",7,5,7,0,1,3,2,"Male",53,"High School","Full Time","White","None","Married",4,4,1,5,2,0,2
"93",8,1,7,0,2,3,2,"Male",82,"High School","Unemployed","White","Christian","Widowed",2,4,5,5,2,0,4
"94",10,1,6,1,1,-2,2,"Male",72,"High School","Unemployed","White","Judaism","Separated",2,4,1,5,2,0,3
"95",10,3,4,1,1,2,2,"Male",57,"High School","Full Time","White","Catholic","Separated",2,2,5,1,1,1,2
"96",6,1,4,0,2,2,2,"Male",77,"High School","Unemployed","White","Judaism","Married",3,5,4,5,2,1,2
"97",8,1,7,1,2,3,2,"Male",69,"High School","Full Time","Other","None","Married",4,5,1,5,2,0,3
"98",10,1,6,1,1,3,2,"Male",56,"High School","Self Employed","White","Christian","Single",1,1,1,1,2,1,1
"99",10,1,2,1,1,1,2,"Male",48,"Some College","Full Time","Black","Christian","Married",2,5,5,4,2,2,1
"100",10,1,1,1,1,1,2,"Female",67,"High School","Housewife","White","Other","Married",1,1,5,1,2,2,2
"101",9,1,3,1,1,2,2,"Male",76,"High School","Unemployed","White","Christian","Married",2,4,4,4,2,2,2
"102",5,1,7,0,2,2,2,"Male",69,"High School","Other","White","Christian","Widowed",3,4,4,4,2,1,3
"103",10,10,1,1,1,1,2,"Female",55,"High School","Full Time","White","Christian","Separated",2,1,1,1,2,2,1
"104",8,5,2,1,1,1,2,"Male",66,"Primary School","Other","White","None","Married",2,1,1,1,2,0,1
"105",9,1,2,1,1,1,2,"Male",71,"High School","Unemployed","White","Christian","Married",2,4,2,4,2,2,2
"106",8,1,2,1,2,1,2,"Male",73,"High School","Unemployed","White","Other","Married",1,4,1,-2,2,2,1
"107",5,1,7,0,2,4,2,"Male",55,"High School","Full Time","White","None","Married",3,4,1,5,1,0,1
"108",10,5,6,1,2,1,2,"Male",56,"High School","Unemployed","White","None","Married",1,4,2,4,1,0,1
"109",9,8,2,0,1,1,2,"Male",91,"High School","Unemployed","White","Catholic","Widowed",1,4,4,4,2,2,2
"110",10,3,2,1,1,1,2,"Male",87,"Some College","Unemployed","White","Catholic","Married",2,5,4,4,2,0,3
"111",10,1,2,1,1,1,2,"Female",69,"High School","Unemployed","White","Christian","Married",1,4,5,2,2,2,2
"112",10,6,3,1,1,2,2,"Female",51,"High School","Full Time","White","Christian","Married",1,2,2,2,2,1,2
"113",10,3,2,1,1,1,2,"Male",78,"High School","Unemployed","White","Christian","Married",1,2,4,2,2,2,2
"114",9,1,2,1,1,1,2,"Female",87,"High School","Housewife","White","Catholic","Widowed",2,2,2,2,2,1,2
"115",10,1,3,1,1,2,2,"Male",74,"Some College","Unemployed","White","Catholic","Married",1,2,2,2,2,1,1
"116",10,1,6,1,1,1,2,"Female",61,"High School","Full Time","White","None","Married",1,4,2,2,2,1,2
"117",10,5,2,1,1,1,2,"Male",28,"Some College","Full Time","White","Catholic","Single",1,1,4,2,2,2,1
"118",10,1,1,1,1,1,2,"Male",62,"High School","Other","White","Christian","Married",1,1,4,1,2,2,1
"119",10,1,6,1,1,1,2,"Female",52,"High School","Other","Hispanic","Catholic","Married",3,4,1,4,2,1,1
"120",10,1,6,1,1,1,2,"Female",73,"High School","Unemployed","White","Christian","Married",2,1,1,1,2,1,1
"121",10,2,2,1,1,1,2,"Male",44,"High School","Full Time","White","Christian","Separated",2,4,2,2,2,2,2
"122",7,1,7,1,1,3,2,"Male",61,"High School","Unemployed","White","None","Married",2,4,5,4,2,0,4
"123",10,1,6,1,1,1,2,"Male",45,"High School","Full Time","White","None","Separated",2,4,2,4,1,0,2
"124",10,1,2,1,1,1,2,"Male",81,"Primary School","Unemployed","White","Christian","Married",1,5,2,1,2,2,3
"125",10,1,7,1,2,1,2,"Male",68,"High School","Unemployed","White","None","Married",3,4,5,2,2,0,2
"126",10,6,6,1,2,1,2,"Female",42,"High School","Other","Hispanic","None","Married",1,4,4,4,2,1,1
"127",1,1,7,1,2,4,2,"Female",34,"High School","Self Employed","White","None","Single",4,5,1,5,2,0,2
"128",2,3,7,0,2,3,2,"Male",47,"High School","Full Time","White","None","Married",4,5,1,5,1,0,2
"129",9,3,7,1,2,4,2,"Female",50,"High School","Full Time","White","None","Separated",3,4,1,5,1,0,3
"130",10,1,1,1,1,1,2,"Female",49,"High School","Housewife","Hispanic","Other","Married",2,5,4,2,2,2,2
"131",1,1,7,0,3,4,2,"Male",75,"High School","Unemployed","Other","None","Married",4,5,1,5,1,0,1
"132",10,1,5,1,1,2,2,"Male",71,"High School","Unemployed","White","Catholic","Married",2,4,4,4,2,1,1
"133",10,1,7,1,1,1,2,"Female",64,"High School","Unemployed","White","Other","Married",2,4,1,4,2,0,2
"134",10,1,3,1,1,1,2,"Male",76,"High School","Unemployed","White","Christian","Married",2,4,4,2,2,2,3
"135",8,1,4,0,1,2,2,"Female",52,"High School","Full Time","Other","Other","Married",2,5,1,4,2,0,2
"136",10,4,2,1,1,2,2,"Male",60,"High School","Unemployed","White","Judaism","Married",1,4,2,4,2,2,3
"137",6,1,1,0,1,1,2,"Female",21,"High School","Full Time","Black","Other","Single",1,2,2,2,2,2,1
"138",10,1,4,1,1,1,2,"Female",60,"High School","Other","White","Catholic","Married",3,4,1,5,1,1,2
"139",10,10,7,1,2,1,2,"Female",69,"Primary School","Other","White","None","Separated",1,1,1,1,2,0,3
"140",5,4,2,0,1,1,2,"Male",37,"High School","Full Time","White","Catholic","Married",1,1,2,2,2,2,1
"141",10,1,2,1,1,1,2,"Female",78,"High School","Unemployed","White","Christian","Widowed",2,4,1,4,2,2,3
"142",10,1,2,1,1,1,2,"Female",63,"High School","Unemployed","White","Christian","Married",1,1,1,1,2,2,2
"143",10,1,1,1,1,1,2,"Female",75,"High School","Housewife","White","Christian","Widowed",1,1,5,2,2,2,3
"144",10,1,2,1,1,1,2,"Female",77,"High School","Unemployed","White","Catholic","Married",1,4,2,2,2,2,1
"145",10,1,6,1,1,2,2,"Male",72,"High School","Unemployed","White","Catholic","Married",3,2,2,2,2,1,2
"146",9,1,6,1,1,2,2,"Male",65,"High School","Unemployed","White","Catholic","Separated",3,4,2,4,1,0,2
"147",6,4,2,1,1,3,2,"Female",87,"High School","Unemployed","White","Christian","Widowed",2,4,4,4,2,2,2
"148",10,1,1,1,1,1,2,"Male",70,"High School","Other","Black","Christian","Separated",2,1,1,5,2,0,2
"149",1,1,7,0,2,4,2,"Female",65,"High School","Full Time","White","None","Married",4,4,4,5,2,0,3
"150",8,-5,7,1,1,2,2,"Female",64,"High School","Unemployed","White","Catholic","Married",3,-5,-5,-5,2,0,2
"151",10,5,6,1,2,2,2,"Female",85,"Primary School","Unemployed","White","Christian","Married",3,4,4,4,2,0,2
"152",4,1,7,1,2,4,2,"Female",56,"High School","Other","White","None","Married",2,4,5,4,2,0,4
"153",10,1,7,1,1,2,2,"Female",51,"High School","Full Time","White","Other","Married",4,1,1,5,2,0,1
"154",2,1,7,0,2,4,2,"Male",67,"High School","Unemployed","White","None","Married",2,5,1,1,2,0,1
"155",10,1,2,0,1,2,2,"Female",77,"High School","Unemployed","White","Catholic","Married",2,4,5,2,2,1,3
"156",10,1,6,1,1,1,2,"Male",54,"High School","Full Time","Hispanic","Catholic","Married",2,2,4,2,2,0,1
"157",9,1,6,1,1,2,2,"Female",84,"High School","Unemployed","White","Christian","Married",2,1,2,1,2,1,1
"158",1,1,7,0,3,4,2,"Male",63,"High School","Unemployed","White","None","Married",4,5,1,5,1,0,2
"159",10,1,2,1,1,2,2,"Male",77,"High School","Unemployed","White","Catholic","Married",1,4,4,4,2,2,2
"160",5,1,7,0,2,2,2,"Male",55,"High School","Self Employed","White","Christian","Married",3,5,2,4,2,0,3
"161",10,1,7,1,1,2,2,"Male",65,"High School","Unemployed","White","Christian","Married",3,4,2,2,2,0,3
"162",10,1,6,1,1,1,2,"Male",36,"High School","Full Time","Other","Other","Separated",2,1,5,1,2,1,1
"163",10,1,1,1,1,1,2,"Male",47,"High School","Other","Hispanic","Christian","Married",4,1,4,1,2,2,1
"164",10,4,7,1,1,2,2,"Female",43,"High School","Full Time","White",NA,"Married",2,5,2,4,2,0,2
"165",10,1,1,1,1,1,2,"Male",53,"High School","Unemployed","Other","Other","Single",3,4,1,4,2,2,2
"166",10,1,7,1,1,1,2,"Male",63,"High School","Unemployed","White","Christian","Married",3,1,4,2,2,0,3
"167",3,1,7,0,2,4,2,"Female",28,"High School","Full Time","White","None","Single",3,4,2,4,2,0,4
"168",10,2,6,1,1,2,2,"Male",53,"High School","Full Time","Black","Christian","Separated",2,4,4,4,2,0,2
"169",10,3,6,1,1,2,2,"Male",36,"High School","Full Time","Black","None","Separated",2,4,2,4,2,0,1
"170",9,4,3,1,1,2,2,"Male",45,"Primary School","Other","Hispanic",NA,"Separated",1,2,2,2,2,1,2
"171",5,4,7,1,2,3,2,"Female",55,"High School","Unemployed","White","None","Widowed",3,5,2,5,2,0,2
"172",8,1,7,0,1,2,2,"Male",79,"High School","Unemployed","White","None","Widowed",1,4,2,2,2,0,2
"173",10,1,1,1,1,1,2,"Female",82,"High School","Housewife","Hispanic","Catholic","Widowed",1,4,5,2,2,2,1
"174",7,1,2,1,2,2,2,"Female",41,"High School","Full Time","White","Christian","Married",2,2,2,2,2,2,3
"175",10,1,1,1,1,1,2,"Female",69,"High School","Full Time","White","Christian","Widowed",1,1,2,1,2,2,3
"176",10,1,3,1,1,1,2,"Male",60,"High School","Unemployed","Black","Christian","Married",1,4,4,5,2,2,1
"177",8,1,7,0,1,2,2,"Male",58,"High School","Self Employed","White","Christian","Married",2,5,1,4,2,1,3
"178",10,2,7,NA,1,2,2,"Female",71,"High School","Unemployed","White","None","Married",2,2,4,2,2,0,1
"179",10,1,7,1,1,1,2,"Female",57,"High School","Unemployed","White",NA,"Married",3,4,1,5,2,0,2
"180",8,1,6,1,1,3,2,"Male",45,"High School","Full Time","White","Catholic","Married",2,5,4,4,2,1,2
"181",10,1,2,1,1,1,2,"Male",72,"High School","Unemployed","White","Christian","Married",1,2,5,1,2,2,2
"182",10,1,7,1,1,2,2,"Male",71,"High School","Unemployed","White","Catholic","Married",3,5,2,5,2,1,2
"183",1,2,7,0,2,4,2,"Male",45,"High School","Full Time","White","None","Married",4,5,1,5,2,1,2
"184",10,2,2,1,1,1,2,"Male",51,"High School","Full Time","Black","Other","Married",1,4,4,4,2,2,2
"185",10,1,1,1,1,1,2,"Female",42,"High School","Housewife","White","Christian","Married",2,2,4,1,2,2,3
"186",4,1,7,0,1,3,2,"Male",54,"High School","Full Time","White","None","Married",3,5,1,5,1,0,3
"187",10,1,6,1,1,1,2,"Male",65,"Some College","Other","White","Christian","Single",3,4,4,4,2,1,2
"188",7,1,7,1,1,3,2,"Female",54,"High School","Full Time","White","Other","Married",3,4,4,2,2,0,3
"189",2,3,7,0,2,4,2,"Male",64,"High School","Unemployed","White","Christian","Married",3,5,1,5,2,1,4
"190",9,1,7,1,1,2,2,"Female",64,"High School","Unemployed","White","Catholic","Widowed",2,4,2,4,2,0,3
"191",10,1,3,1,1,1,2,"Male",79,"Primary School","Other","White","Christian","Married",1,4,4,5,2,1,1
"192",10,3,2,1,1,1,2,"Male",75,"High School","Unemployed","Other","Christian","Married",1,2,4,4,2,2,1
"193",9,1,7,1,1,2,2,"Male",64,"High School","Unemployed","White","Catholic","Separated",3,4,1,4,2,0,2
"194",9,5,2,1,1,1,2,"Male",69,"High School","Unemployed","White","Christian","Married",2,2,4,2,1,1,2
"195",5,5,6,1,1,1,2,"Male",40,"High School","Full Time","White","None","Married",1,1,2,1,2,2,1
"196",7,1,6,0,2,3,2,"Male",25,"High School","Full Time","White","Catholic","Married",3,4,1,4,2,0,3
"197",9,1,3,1,1,2,2,"Male",87,"High School","Unemployed","White","Christian","Married",1,4,2,4,2,1,2
"198",10,1,2,1,1,1,2,"Male",54,"High School","Other","White","Other","Widowed",1,1,5,1,2,2,1
"199",8,3,7,0,1,2,2,"Male",50,"Degree","Full Time","White","Judaism","Single",3,5,2,4,2,0,3
"200",10,1,-2,1,1,1,2,"Female",41,"Primary School","Self Employed","White",NA,"Married",1,4,5,1,1,0,-2
"201",10,2,7,1,1,1,2,"Female",53,"High School","Unemployed","Black","None","Married",3,4,4,4,2,0,1
"202",9,1,7,0,1,2,2,"Male",63,"High School","Self Employed","White","None","Separated",4,4,4,2,2,0,2
"203",10,1,4,1,1,2,2,"Female",63,"Primary School","Unemployed","Hispanic","Catholic","Married",3,2,4,4,2,1,1
"204",10,1,7,1,1,2,2,"Male",72,"High School","Unemployed","White","None","Separated",3,4,4,4,2,0,1
"205",10,1,2,1,1,1,2,"Male",71,"Some College","Unemployed","White","Christian","Married",2,2,2,2,2,2,2
"206",10,1,4,1,1,1,2,"Male",84,"High School","Unemployed","White","Catholic","Widowed",1,1,4,2,2,2,1
"207",8,1,4,1,1,1,2,"Male",83,"High School","Unemployed","Other","Judaism","Separated",2,4,4,4,2,2,3
"208",10,1,2,1,1,1,2,"Female",72,"High School","Full Time","White","Catholic","Married",1,2,2,2,2,2,3
"209",9,1,2,1,1,1,2,"Male",42,"High School","Self Employed","Other","Christian","Married",2,2,4,2,2,2,2
"210",5,1,4,1,2,3,2,"Male",53,"High School","Full Time","White","Christian","Married",4,5,1,5,2,1,2
"211",10,1,3,1,1,2,2,"Male",79,"High School","Unemployed","White","Catholic","Married",2,4,4,5,2,2,2
"212",10,2,6,1,1,2,2,"Female",66,"High School","Unemployed","White","Christian","Widowed",2,4,4,4,2,0,3
"213",5,2,7,1,2,3,2,"Male",57,"High School","Full Time","White","Christian","Married",3,4,4,4,2,0,2
"214",10,1,7,1,1,1,2,"Male",53,"High School","Unemployed","White","None","Married",3,4,2,5,2,0,2
"215",1,1,6,0,2,4,2,"Male",76,"High School","Unemployed","White","Christian","Married",4,1,1,1,2,0,3
"216",9,1,2,1,1,1,2,"Female",72,"High School","Housewife","White","Catholic","Married",1,2,4,2,2,2,2
"217",10,2,1,1,1,1,2,"Female",85,"High School","Unemployed","White","Catholic","Widowed",1,2,4,1,2,2,1
"218",8,1,7,1,1,3,2,"Male",50,"High School","Other","White","None","Married",2,4,4,5,2,0,2
"219",10,2,1,1,1,1,2,"Male",43,"Some College","Full Time","Hispanic","Catholic","Single",2,4,4,5,2,2,1
"220",-5,-5,-5,NA,-5,3,2,"Female",33,"High School","Housewife","White",NA,"Single",2,-5,-5,-5,1,0,-5
"221",7,1,2,0,1,2,2,"Female",57,"High School","Unemployed","White","None","Married",2,4,5,1,1,0,2
"222",10,5,6,1,1,1,2,"Male",65,"High School","Unemployed","White","None","Married",2,2,2,2,2,0,3
"223",7,1,7,1,1,3,2,"Female",29,"High School","Full Time","White","None","Married",3,4,4,4,2,0,3
"224",10,2,3,1,1,2,2,"Male",49,"High School","Full Time","Hispanic","Christian","Married",2,4,4,2,2,2,2
"225",10,1,2,1,1,1,2,"Female",53,"High School","Other","White","Christian","Separated",1,4,4,4,2,1,1
"226",10,2,2,1,1,2,2,"Female",63,"High School","Full Time","White","Catholic","Married",2,2,4,2,2,0,2
"227",5,3,5,1,2,3,2,"Female",35,"High School","Self Employed","White","Christian","Married",2,4,2,4,2,1,3
"228",10,1,6,1,1,1,2,"Male",48,"High School","Other","White","Christian","Single",1,1,5,1,2,1,2
"229",10,1,2,1,1,1,2,"Female",73,"Some College","Unemployed","Hispanic","Catholic","Single",2,4,1,2,2,2,3
"230",10,1,1,1,1,1,2,"Male",70,"High School","Unemployed","White","Christian","Married",1,1,1,1,2,2,1
"231",10,1,1,1,1,1,2,"Male",50,"High School","Full Time","White","Other","Married",1,2,5,1,1,1,1
"232",8,1,5,1,1,2,2,"Male",75,"High School","Full Time","White","Christian","Married",1,4,2,4,1,0,2
"233",10,1,2,1,1,1,2,"Female",86,"High School","Unemployed","White","Catholic","Married",1,5,-2,2,2,2,2
"234",10,1,1,1,1,1,2,"Female",69,"High School","Housewife","White","Christian","Married",1,4,4,1,2,2,1
"235",10,1,1,1,1,1,2,"Female",61,"High School","Unemployed","White","Other","Married",2,2,4,1,2,2,2
"236",10,1,2,1,1,1,2,"Male",57,"High School","Full Time","White","Catholic","Married",2,5,5,1,2,2,1
"237",5,4,2,1,1,2,2,"Male",78,"Primary School","Unemployed","White","Catholic","Married",2,4,4,4,2,0,2
"238",3,3,6,1,2,3,2,"Male",39,"Some College","Full Time","Other","None","Single",3,4,4,4,1,1,2
"239",5,1,4,0,1,3,2,"Male",73,"High School","Unemployed","White","Catholic","Married",2,4,2,5,2,1,3
"240",10,2,6,1,2,3,2,"Male",78,"Primary School","Unemployed","Other","None","Separated",3,2,2,2,2,0,2
"241",10,1,6,1,1,2,2,"Female",73,"High School","Unemployed","White","Other","Widowed",2,2,1,4,2,1,1
"242",10,2,6,1,1,2,2,"Male",32,"High School","Other","White","Christian","Single",2,1,5,1,2,1,1
"243",4,1,4,0,2,3,2,"Male",52,"High School","Other","White","Christian","Separated",2,4,4,4,2,1,3
"244",10,3,2,1,1,2,2,"Female",61,"Some College","Full Time","White","Catholic","Married",2,4,4,4,2,2,1
"245",4,3,6,0,3,1,2,"Male",33,"High School","Full Time","Hispanic","Other","Single",1,1,5,4,2,0,3
"246",10,1,1,1,1,1,2,"Male",84,"High School","Unemployed","White","Christian","Married",1,1,1,1,2,2,2
