"","X","prvblf","othblf","pubact","prvact","iden1","iden2","wave","sex","age","educ","work","ethnic","denom","marital","pubblf1","pubblf2","pubblf3","pubblf4","prvblf2","prvblf3","prvblf4","othblf2","pubact2","prvact2","pubact3"
"112",112,9,8,1,1,2,3,"1","Male",20,"High School","Part Time","White","Other","Single",2,4,3,3,1,1,1,2,1,1,NA
"116",116,9,9,0,1,2,3,"1","Female",29,"Primary School","Unemployed","Black","Other","Married",2,3,2,2,1,1,1,2,2,1,NA
"117",117,8,3,3,1,2,3,"1","Female",29,"Primary School","Housewife","White","Other","Separated",2,3,2,3,1,1,1,2,2,2,NA
"121",121,9,9,5,1,2,2,"1","Male",79,"Primary School","Unemployed","White","Catholic","Married",1,4,4,2,1,1,1,2,1,1,NA
"123",123,9,9,5,1,2,3,"1","Female",64,"High School","Full Time","White","Catholic","Married",1,1,1,1,1,1,1,2,1,1,NA
"124",124,9,9,5,1,2,3,"1","Female",47,"High School","Full Time","White","Catholic","Single",1,4,3,3,1,1,1,2,1,1,NA
"125",125,9,8,5,1,2,2,"1","Male",46,"High School","Full Time","White","Christian","Single",2,2,2,1,1,1,1,2,1,1,NA
"126",126,9,9,4,1,2,3,"1","Female",62,"High School","Unemployed","White","Christian","Separated",1,1,1,3,1,1,1,2,1,1,NA
"127",127,8,3,3,1,2,3,"1","Female",63,"Degree","Full Time","White","Catholic","Married",2,1,5,1,1,1,1,2,1,1,NA
"128",128,7,9,5,0,1,3,"1","Female",46,"High School","Full Time","White","Catholic","Married",1,4,4,3,1,1,1,2,1,2,NA
"129",129,7,8,3,1,2,3,"1","Female",42,"Degree","Part Time","Black","Catholic","Married",2,3,3,3,1,1,1,2,1,1,NA
"130",130,9,9,5,1,2,3,"1","Female",31,"Some College","Full Time","White","Other","Widowed",1,3,2,1,1,1,1,2,1,1,NA
"131",131,7,5,5,1,2,3,"1","Male",37,"High School","Full Time","White","Catholic","Separated",2,1,5,1,1,1,1,2,1,1,NA
"132",132,9,5,4,1,2,3,"1","Female",19,"High School","Part Time","White","Christian","Single",1,3,3,1,1,1,1,2,1,1,NA
"133",133,9,7,4,1,2,3,"1","Male",35,"High School","Full Time","White","Other","Married",1,1,4,1,1,1,1,2,1,1,NA
"134",134,9,9,4,1,2,3,"1","Female",43,"High School","Full Time","White","Other","Single",1,3,3,3,1,1,1,2,1,2,NA
"135",135,9,3,0,1,1,2,"1","Female",75,"High School","Unemployed","White","Judaism","Married",3,4,2,4,1,2,1,1,2,1,NA
"136",136,8,9,4,1,2,3,"1","Female",67,"High School","Unemployed","White","Judaism","Married",2,3,1,5,1,1,1,2,1,1,NA
"137",137,9,9,2,1,1,3,"1","Male",76,"Some College","Part Time","White","Judaism","Married",3,2,1,4,1,-1,1,2,2,2,NA
"138",138,9,9,3,1,2,3,"1","Male",82,"High School","Self Employed","White","Judaism","Married",3,4,2,5,1,1,1,2,1,1,NA
"140",140,6,9,3,1,1,2,"1","Male",54,"High School","Unemployed","White","Judaism","Married",3,3,2,4,1,2,1,2,1,2,NA
"141",141,8,9,5,1,2,3,"1","Female",82,"Primary School","Unemployed","White","Judaism","Widowed",3,4,-1,4,1,2,1,-1,1,2,NA
"142",142,9,8,5,1,2,3,"1","Female",76,"High School","Unemployed","White","Catholic","Married",2,1,1,4,1,1,1,2,2,2,NA
"143",143,9,6,5,1,2,2,"1","Female",76,"High School","Unemployed","White","Catholic","Widowed",2,3,1,3,-1,-1,1,2,2,3,NA
"144",144,9,9,6,1,2,3,"1","Female",57,"High School","Unemployed","White","Judaism","Widowed",1,4,4,2,1,1,1,2,1,1,NA
"145",145,9,8,5,1,2,3,"1","Female",42,"Degree","Self Employed","Hispanic","Catholic","Separated",1,2,4,2,1,1,1,2,1,1,NA
"147",147,9,5,3,1,2,1,"1","Male",21,"Some College","Full Time","Hispanic","Catholic","Single",3,3,2,2,1,1,1,2,2,1,NA
"148",148,9,9,5,1,2,3,"1","Female",38,"High School","Self Employed","Hispanic","Christian","Married",1,3,1,2,1,1,1,2,1,1,NA
"149",149,4,9,1,1,2,0,"1","Male",23,"Degree","Part Time","White","Catholic","Single",4,3,3,3,1,1,1,2,2,1,NA
"152",152,9,4,3,1,2,1,"1","Male",24,"Degree","Full Time","Hispanic","Catholic","Single",4,5,1,3,1,1,1,2,2,4,NA
"155",155,3,8,3,1,2,3,"1","Male",52,"Degree","Full Time","Hispanic","Catholic","Married",1,3,3,3,1,1,1,2,2,1,NA
"156",156,9,9,5,1,2,3,"1","Female",32,"Some College","Housewife","White","Christian","Married",2,2,5,1,1,1,1,2,2,2,NA
"157",157,6,4,4,1,2,3,"1","Male",51,"Degree","Full Time","White","Other","Single",2,4,5,2,1,1,1,2,1,1,NA
"158",158,6,1,5,1,1,3,"1","Female",42,"High School","Full Time","Black","Catholic","Single",4,1,3,1,1,1,1,-1,1,2,NA
"159",159,9,9,5,1,2,1,"1","Male",38,"Degree","Full Time","Other","Other","Married",2,4,2,1,1,1,1,2,1,1,NA
"161",161,9,8,6,1,2,3,"1","Female",43,"Degree","Full Time","Black","Other","Single",1,4,4,3,1,1,1,2,1,1,NA
"166",166,9,9,6,1,2,3,"1","Female",33,"High School","Full Time","White","Other","Single",2,1,3,1,1,1,1,2,1,1,NA
"170",170,9,3,4,1,2,3,"1","Male",36,"Degree","Full Time","White","Catholic","Separated",2,2,3,2,1,1,1,2,1,2,NA
"171",171,9,9,6,1,2,3,"1","Female",33,"Some College","Housewife","White","Christian","Married",1,2,4,2,1,1,1,2,1,1,NA
"172",172,6,8,5,1,1,2,"1","Male",58,"Degree","Full Time","White","Christian","Married",2,3,4,2,2,2,1,2,1,4,NA
"173",173,9,9,5,1,2,3,"1","Female",39,"High School","Part Time","White","Christian","Married",1,1,4,1,1,1,1,2,1,1,NA
"175",175,9,9,5,1,2,3,"1","Female",61,"Some College","Unemployed","White","Christian","Married",1,2,2,2,1,1,1,2,1,1,NA
"178",178,5,9,1,1,1,2,"1","Male",32,"Some College","Part Time","Hispanic","Catholic","Single",3,3,1,4,1,-1,1,2,2,1,NA
"179",179,9,9,6,1,2,3,"1","Female",37,"Degree","Housewife","White","Christian","Married",1,3,4,2,1,1,1,2,1,1,NA
"181",181,9,9,5,1,2,3,"1","Female",48,"Primary School","Part Time","White","Catholic","Married",2,2,1,1,1,1,1,2,1,2,NA
"182",182,3,9,0,1,1,3,"1","Female",28,"High School","Full Time","Hispanic","Catholic","Single",3,2,2,5,1,1,1,1,2,1,NA
"183",183,9,9,1,1,2,3,"1","Male",28,"High School","Full Time","White","Catholic","Single",2,5,4,1,1,1,1,2,2,1,NA
"184",184,9,4,6,1,2,3,"1","Male",20,"Some College","Other","Other","Catholic","Single",1,4,5,1,1,1,1,2,1,2,NA
"185",185,6,9,5,0,1,2,"1","Female",51,"Some College","Part Time","White","Christian","Married",2,1,1,2,1,1,1,2,1,2,NA
"186",186,5,9,4,1,1,0,"1","Female",72,"Some College","Housewife","White","Other","Married",2,4,1,4,1,2,1,2,1,1,NA
"189",189,9,9,5,1,2,2,"1","Male",18,"Primary School","Part Time","White","Other","Single",2,2,2,2,1,1,1,2,2,1,NA
"190",190,9,1,0,1,2,3,"1","Female",18,"Primary School","Other","White","Catholic","Single",2,3,2,4,1,1,1,2,2,1,NA
"193",193,7,0,2,1,2,3,"1","Female",44,"Primary School","Full Time","White","Catholic","Married",1,4,2,4,1,1,1,2,2,4,NA
"194",194,6,7,4,0,2,3,"1","Female",31,"Degree","Full Time","White","Catholic","Married",1,3,-1,5,1,1,1,2,1,1,NA
"196",196,9,9,2,1,2,3,"1","Female",50,"Primary School","Full Time","White","Catholic","Married",3,4,1,4,1,1,1,1,1,1,NA
"197",197,9,7,6,1,2,2,"1","Female",26,"Primary School","Housewife","White","Other","Married",1,3,3,3,1,1,1,2,1,1,NA
"198",198,7,0,2,1,2,1,"1","Male",40,"Degree","Full Time","White","Other","Single",1,2,3,4,1,1,1,2,2,1,NA
"199",199,8,9,1,1,2,3,"1","Female",63,"Primary School","Other","White","Catholic","Married",1,3,2,3,1,1,1,2,2,1,NA
"204",204,8,5,4,1,2,2,"1","Male",32,"Primary School","Full Time","White","Catholic","Single",2,3,3,3,1,1,1,1,1,1,NA
"205",205,9,9,5,1,2,3,"1","Female",27,"High School","Full Time","Black","Other","Single",1,3,3,3,1,1,1,2,1,2,NA
"206",206,9,9,6,1,2,3,"1","Female",49,"High School","Full Time","White","Other","Married",2,3,4,2,1,1,1,2,1,2,NA
"208",208,9,9,5,1,2,3,"1","Female",28,"Degree","Full Time","White","Other","Married",1,3,3,3,1,1,1,2,1,1,NA
"209",209,9,9,5,1,2,3,"1","Female",52,"Degree","Full Time","White","Christian","Married",1,4,4,2,1,1,1,2,1,1,NA
"210",210,9,9,4,1,2,3,"1","Male",42,"Some College","Full Time","White","Christian","Separated",2,4,2,4,1,1,1,2,1,1,NA
"211",211,9,9,6,1,2,3,"1","Female",41,"Primary School","Part Time","White","Catholic","Married",1,1,2,2,1,1,1,2,1,1,NA
"212",212,6,8,5,0,1,2,"1","Male",48,"Degree","Full Time","White","Catholic","Married",3,4,2,4,1,1,1,2,2,1,NA
"213",213,7,9,0,1,2,1,"1","Female",45,"High School","Full Time","White","Christian","Married",4,2,1,5,1,1,1,1,2,1,NA
"214",214,8,9,4,1,2,2,"1","Male",55,"Some College","Unemployed","White","Christian","Separated",3,4,4,2,1,1,1,2,1,1,NA
"215",215,9,9,6,1,2,3,"1","Female",38,"Degree","Part Time","White","Christian","Married",1,2,4,2,1,1,1,2,1,2,NA
"216",216,6,9,4,1,2,2,"1","Male",23,"High School","Full Time","White","Other","Single",1,2,2,4,1,1,1,2,2,4,NA
"219",219,9,5,5,1,2,3,"1","Male",25,"Some College","Full Time","Black","Christian","Single",1,1,2,4,1,1,1,2,1,3,NA
"222",222,9,9,3,1,2,3,"1","Female",26,"High School","Full Time","White","Other","Single",3,1,3,1,1,1,1,1,2,1,NA
"223",223,9,8,6,1,2,3,"1","Female",52,"High School","Part Time","White","Other","Single",1,1,4,1,1,1,1,2,1,1,NA
"224",224,9,3,6,1,1,3,"1","Female",43,"High School","Full Time","White","Other","Married",1,1,3,1,1,1,1,2,1,2,NA
"225",225,6,6,5,0,2,3,"1","Male",33,"High School","Self Employed","Black","Other","Single",1,2,4,3,1,2,1,2,1,3,NA
"226",226,8,2,5,1,1,2,"1","Male",19,"Primary School","Full Time","Black","Other","Single",1,2,2,2,1,1,1,2,1,2,NA
"227",227,9,9,6,1,2,3,"1","Female",37,"Primary School","Full Time","Black","Other","Married",1,3,3,3,1,1,1,2,1,1,NA
"229",229,9,9,6,1,2,3,"1","Male",66,"Degree","Unemployed","White","Christian","Single",2,3,2,2,1,1,1,2,1,1,NA
"230",230,9,9,6,1,2,3,"1","Female",40,"Primary School","Unemployed","White","Christian","Married",2,2,5,1,1,1,1,2,1,1,NA
"232",232,9,9,4,1,2,3,"1","Female",43,"Primary School","Full Time","Black","Other","Single",1,3,3,3,1,1,1,2,1,2,NA
"233",233,9,9,5,1,2,3,"1","Female",19,"Some College","Part Time","Black","Catholic","Single",1,5,-1,1,1,1,1,2,2,2,NA
"234",234,8,9,4,1,2,3,"1","Female",22,"Primary School","Other","Black","Other","Single",2,2,2,2,1,1,1,2,1,3,NA
"236",236,9,9,6,1,2,3,"1","Female",53,"High School","Full Time","Black","Christian","Single",1,4,4,2,1,1,1,2,1,1,NA
"237",237,6,9,4,1,2,2,"1","Female",50,"Degree","Full Time","White","Other","Married",2,4,4,4,1,1,1,2,1,2,NA
"240",240,5,9,4,1,NA,2,"1","Male",22,"Some College","Self Employed","White","Catholic","Single",3,5,2,-1,1,1,1,2,2,2,NA
"241",241,9,9,4,1,2,3,"1","Female",59,"Some College","Part Time","White","Christian","Married",2,3,3,2,1,-1,1,2,1,1,NA
"242",242,7,9,6,1,2,3,"1","Male",75,"Degree","Part Time","White","Catholic","Married",2,3,4,2,1,1,1,2,1,2,NA
"243",243,8,9,2,1,2,2,"1","Male",31,"Some College","Full Time","White","Christian","Separated",2,3,2,3,1,2,1,2,2,2,NA
"244",244,5,9,3,1,1,2,"1","Female",49,"Degree","Full Time","White","Judaism","Separated",4,2,3,4,-1,-1,1,2,1,1,NA
"245",245,5,8,4,1,2,1,"1","Female",56,"Degree","Full Time","White","Christian","Married",2,4,3,3,1,2,1,2,1,2,NA
"246",246,9,9,4,1,2,2,"1","Female",66,"Degree","Part Time","White","Judaism","Married",-1,3,3,3,1,2,1,2,1,1,NA
"247",247,1,8,1,1,1,0,"1","Male",61,"Degree","Full Time","White","Other","Married",3,5,3,4,-1,-1,2,2,2,2,NA
"248",248,9,9,3,1,1,1,"1","Female",46,"Degree","Full Time","White","Christian","Married",4,3,1,3,1,2,1,2,2,1,NA
"249",249,7,9,5,1,2,3,"1","Female",47,"Degree","Part Time","White","Judaism","Married",2,3,2,4,1,2,1,2,1,1,NA
"250",250,2,9,4,1,2,1,"1","Female",46,"Degree","Part Time","White","Catholic","Married",2,5,2,4,1,2,1,2,1,1,NA
"252",252,8,8,1,1,NA,1,"1","Male",29,"Degree","Full Time","White","Other","Single",3,4,2,4,1,2,1,1,2,1,NA
"253",253,4,8,5,1,2,3,"1","Female",26,"Some College","Full Time","Black","Christian","Single",1,5,1,4,1,1,1,1,1,1,NA
"254",254,9,9,5,1,2,3,"1","Female",34,"Some College","Housewife","White","Other","Married",2,2,2,4,1,1,1,2,1,1,NA
"255",255,9,9,6,1,2,3,"1","Female",66,"High School","Part Time","White","Other","Widowed",2,4,1,3,1,-1,1,2,1,1,NA
"256",256,7,9,2,1,2,2,"1","Female",24,"Degree","Other","White","Christian","Married",2,4,2,4,1,1,1,2,2,1,NA
"257",257,4,7,6,1,2,2,"1","Male",43,"High School","Full Time","White","Other","Married",1,5,1,5,2,2,1,1,2,1,NA
"261",261,6,9,5,1,2,2,"1","Male",18,"High School","Other","Other","Catholic","Single",2,3,2,3,1,1,1,2,1,2,NA
"262",262,7,2,3,0,2,3,"1","Male",18,"Primary School","Other","Black","Christian","Single",2,4,2,4,1,1,1,-1,1,3,NA
"263",263,9,8,NA,1,2,3,"1","Male",30,"Primary School","Full Time","White","Other","Married",2,3,2,3,1,1,1,2,1,3,NA
"264",264,4,7,6,1,2,2,"1","Female",40,"Some College","Full Time","White","Other","Married",2,5,1,5,1,2,1,-1,1,2,NA
"266",266,9,9,4,1,2,3,"1","Male",65,"Some College","Self Employed","White","Christian","Married",2,4,4,2,1,1,1,2,1,2,NA
"267",267,9,9,5,0,2,3,"1","Female",68,"High School","Full Time","White","Catholic","Separated",2,2,2,2,1,1,1,2,1,3,NA
"268",268,9,6,6,1,1,3,"1","Male",35,"Some College","Full Time","Black","Catholic","Single",1,1,4,1,1,1,1,2,2,1,NA
"269",269,9,9,5,1,2,3,"1","Female",48,"Degree","Part Time","White","Catholic","Married",2,2,4,1,1,1,1,2,1,1,NA
"271",271,9,9,6,1,2,3,"1","Female",72,"Degree","Part Time","White","Catholic","Married",2,1,3,3,1,1,1,2,1,1,NA
"272",272,4,8,3,1,2,2,"1","Female",37,"High School","Self Employed","White","Catholic","Single",3,4,3,4,1,1,1,1,2,1,NA
"275",275,9,9,5,1,2,3,"1","Male",80,"High School","Unemployed","White","Catholic","Married",1,4,2,2,1,1,1,2,1,1,NA
"278",278,9,4,4,1,2,3,"1","Female",22,"High School","Part Time","Black","Other","Married",1,4,2,5,1,1,1,-1,1,3,NA
"279",279,9,2,5,1,2,3,"1","Female",24,"Some College","Full Time","Black","Other","Married",1,1,2,1,1,1,1,1,1,2,NA
"280",280,9,9,1,1,NA,2,"1","Male",29,"Some College","Full Time","Black","Other","Married",1,3,3,3,1,1,1,2,2,2,NA
"282",282,9,9,6,1,2,3,"1","Male",34,"Degree","Full Time","White","Christian","Single",1,2,5,1,1,1,1,2,1,1,NA
"284",284,9,9,6,1,2,3,"1","Female",64,"High School","Unemployed","Black","Other","Married",2,1,2,4,1,1,1,2,1,1,NA
"285",285,9,9,6,1,2,3,"1","Female",42,"High School","Full Time","Black","Other","Separated",2,1,1,1,1,1,1,2,1,1,NA
"286",286,9,5,5,1,2,3,"1","Female",28,"Primary School","Unemployed","Black","Other","Single",1,2,2,2,1,1,1,2,2,2,NA
"287",287,9,9,2,1,2,3,"1","Female",51,"Degree","Housewife","Black","Christian","Married",2,2,3,3,1,1,1,2,2,2,NA
"289",289,9,9,6,1,2,3,"1","Female",29,"Some College","Housewife","White","Other","Married",1,1,4,1,1,1,1,2,1,1,NA
"290",290,9,9,5,1,2,3,"1","Female",43,"Primary School","Housewife","White","Catholic","Married",2,1,3,2,1,-1,1,2,1,2,NA
"291",291,7,9,5,1,2,3,"1","Male",58,"Primary School","Unemployed","White","Catholic","Separated",2,4,1,4,1,1,1,2,1,3,NA
