"","prvblf","othblf","pubact","prvact","iden1","iden2","wave","sex","age","educ","work","ethnic","denom","marital","pubblf1","pubblf2","pubblf3","pubblf4","prvblf2","prvblf3","prvblf4","othblf2","pubact2","prvact2"
"31",10,3,5,1,1,1,1,"Female",42,"Degree","Full Time","White","None","Single",2,4,3,3,1,2,1,2,2,1
"32",10,1,3,1,1,1,1,"Male",37,"High School","Other","White","Christian","Single",1,3,2,2,1,1,1,2,2,2
"33",9,1,6,1,1,1,1,"Female",35,"High School","Full Time","Hispanic","Other","Single",2,2,2,2,1,1,1,2,1,1
"34",1,1,7,0,3,2,1,"Male",48,"Degree","Unemployed","White","Judaism","Single",4,4,2,4,2,2,2,2,2,3
"35",7,3,2,1,1,1,1,"Male",40,"Degree","Full Time","Hispanic","Catholic","Married",2,2,2,4,1,1,1,2,1,2
"36",9,2,7,1,1,2,1,"Female",44,"High School","Full Time","White","Other","Married",2,4,2,4,1,1,1,2,2,1
"37",9,1,2,1,1,2,1,"Female",21,"High School","Part Time","White","Christian","Single",1,2,4,2,1,1,1,2,1,1
"38",10,1,1,1,1,1,1,"Male",22,"High School","Full Time","Other","Other","Single",1,5,3,1,1,1,1,2,1,1
"39",10,1,1,1,1,1,1,"Female",69,"High School","Unemployed","White","Other","Widowed",1,2,2,2,1,1,1,2,1,1
"40",10,1,1,1,1,1,1,"Female",29,"Some College","Part Time","White","None","Married",1,1,2,2,1,1,1,2,1,2
"41",10,1,2,1,1,1,1,"Female",49,"Degree","Unemployed","White","Christian","Married",2,4,2,3,1,1,1,2,1,2
"42",10,1,1,1,1,1,1,"Female",39,"High School","Full Time","Black","Christian","Separated",1,3,2,1,1,1,1,2,1,1
"43",10,1,2,1,1,1,1,"Male",18,"High School","Other","Black","Christian","Single",1,3,4,3,1,1,1,2,1,1
"44",10,10,2,0,1,1,1,"Male",46,"High School","Other","Black","Christian","Married",2,4,2,4,1,1,1,2,2,1
"45",10,1,1,1,1,1,1,"Female",24,"High School","Full Time","Black","Christian","Single",3,1,5,1,1,1,1,2,1,1
"46",10,1,2,1,1,1,1,"Female",49,"Some College","Full Time","Black","Christian","Separated",2,2,3,2,1,1,1,2,1,1
"47",10,1,2,1,1,1,1,"Female",79,"High School","Unemployed","White","Christian","Widowed",1,2,2,2,1,1,1,2,1,1
"48",10,1,4,0,2,-1,1,"Female",64,"Primary School","Unemployed","White","None","Widowed",1,1,1,1,1,1,1,2,2,1
"49",10,1,1,1,1,1,1,"Female",40,"Primary School","Housewife","White","Other","Married",1,-1,4,-1,1,1,1,2,1,2
"50",4,3,2,0,2,4,1,"Female",43,"Some College","Part Time","Black","None","Married",4,2,2,2,2,2,2,2,2,2
"51",10,3,3,1,2,1,1,"Male",55,"High School","Full Time","White","Christian","Married",1,4,2,4,1,1,1,2,1,1
"52",10,1,3,1,1,1,1,"Female",33,"Primary School","Unemployed","Black","None","Married",1,4,2,2,1,1,1,2,2,1
"53",10,1,5,1,1,1,1,"Male",27,"High School","Full Time","Black","None","Married",1,3,2,4,1,1,1,2,1,1
"54",2,8,4,0,-1,3,1,"Female",22,"Primary School","Other","Black",NA,"Married",1,2,2,4,1,1,1,1,1,-1
"55",10,1,1,1,1,1,1,"Female",54,"Some College","Housewife","White","Other","Married",1,2,3,1,1,1,1,2,1,1
"56",10,1,1,1,1,1,1,"Female",46,"Some College","Part Time","White","None","Married",3,2,5,4,1,1,1,2,1,1
"57",10,8,1,1,1,1,1,"Female",35,"High School","Full Time","Black","Other","Separated",1,4,1,1,1,1,1,1,2,2
"58",10,3,2,1,2,3,1,"Male",27,"Some College","Full Time","Hispanic","None","Single",2,2,2,2,1,1,1,1,2,3
"59",3,7,3,1,2,1,1,"Male",22,"Primary School","Full Time","Hispanic","Other","Separated",1,1,3,1,1,-1,1,1,2,3
"60",6,4,4,1,1,2,1,"Female",22,"Primary School","Unemployed","Other",NA,"Married",3,2,5,3,2,-1,1,1,2,1
"61",10,5,2,1,1,1,1,"Female",27,"High School","Full Time","Black",NA,"Married",2,1,2,2,1,1,1,2,1,1
"62",10,3,3,1,1,1,1,"Male",21,"High School","Part Time","Black","Other","Single",2,2,4,3,1,1,1,1,2,1
"63",8,1,4,1,1,1,1,"Female",49,"High School","Full Time","Other","Other","Separated",4,3,2,2,1,1,1,2,2,1
"64",10,3,4,1,1,3,1,"Male",54,"Degree","Self Employed","Other","Christian","Single",3,4,3,4,1,2,1,2,1,1
"65",10,2,1,1,1,1,1,"Female",36,"Some College","Full Time","Black","Other","Separated",1,1,4,2,1,1,1,2,1,1
"66",10,3,3,1,1,1,1,"Male",30,"High School","Full Time","White","Catholic","Single",1,1,4,1,1,1,1,2,1,2
"67",10,3,1,1,1,1,1,"Male",50,"High School","Full Time","Black","Christian","Single",1,4,4,4,1,1,1,2,1,1
"68",8,4,7,1,1,2,1,"Female",48,"Degree","Self Employed","White","None","Married",4,5,2,5,1,2,-1,1,2,1
"69",10,1,3,1,1,2,1,"Female",54,"Some College","Full Time","White","Christian","Separated",2,3,3,2,1,1,1,2,1,3
"70",10,3,6,1,1,2,1,"Female",61,"Some College","Self Employed","Black","Christian","Married",3,3,2,4,1,1,1,2,2,1
"71",5,4,6,0,2,2,1,"Male",74,"Degree","Unemployed","White",NA,"Separated",3,4,2,4,-1,2,1,1,2,3
"72",10,1,5,1,1,1,1,"Female",55,"Some College","Part Time","White","Christian","Married",3,2,2,4,1,1,1,2,1,1
"73",10,1,1,1,1,1,1,"Male",29,"Primary School","Full Time","Black","Other","Married",1,4,2,4,1,1,1,2,1,2
"74",10,1,3,1,1,2,1,"Female",21,"Primary School","Housewife","White",NA,"Married",2,3,3,3,1,1,1,1,2,2
"75",10,6,3,1,1,1,1,"Female",27,"High School","Housewife","Hispanic","Catholic","Married",2,1,2,4,1,1,1,2,1,2
"76",10,1,4,1,1,1,1,"Female",55,"Primary School","Unemployed","Black","Other","Married",1,4,4,2,1,1,1,2,1,1
"77",6,2,4,1,1,3,1,"Male",28,"High School","Full Time","White","None","Single",2,4,4,4,1,1,1,2,2,2
"78",10,1,2,1,1,1,1,"Male",41,"Some College","Full Time","Hispanic","None","Single",3,4,1,4,1,1,1,1,1,1
"79",10,2,1,1,1,1,1,"Female",19,"Some College","Full Time","White","Other","Single",1,4,4,2,1,1,1,2,1,2
"80",4,1,4,0,2,3,1,"Female",23,"Some College","Full Time","White","Christian","Single",-1,4,3,4,1,-1,1,2,1,3
"81",10,1,3,1,1,2,1,"Female",49,"High School","Full Time","Hispanic","Catholic","Married",1,1,3,1,1,1,1,2,1,1
"82",9,1,7,1,1,2,1,"Male",53,NA,"Full Time","Black","None","Married",2,3,3,3,1,1,1,2,2,2
"83",8,1,7,1,2,4,1,"Male",40,"High School","Full Time","White","None","Separated",4,2,1,5,1,1,1,2,2,1
"84",10,2,7,1,1,3,1,"Female",49,"Degree","Full Time","White","Other","Separated",3,2,2,3,1,2,1,1,2,1
"85",10,2,1,1,1,1,1,"Male",55,"Degree","Self Employed","White","Other","Married",4,1,4,4,1,1,1,2,1,1
"86",9,1,2,1,1,1,1,"Male",38,"High School","Unemployed","White","Christian","Separated",1,1,5,1,1,1,1,2,1,1
"87",2,1,4,1,1,1,1,"Female",62,"High School","Unemployed","White","None","Widowed",3,1,3,3,1,1,1,2,2,2
"88",10,1,1,1,1,1,1,"Male",18,"High School","Full Time","White","Christian","Single",3,1,1,1,1,1,1,2,1,1
"89",7,1,4,1,1,2,1,"Female",52,"High School","Unemployed","White","Christian","Married",2,4,3,4,1,1,1,2,2,2
"90",10,1,2,1,1,1,1,"Male",71,"Degree","Unemployed","Hispanic","Catholic","Married",3,3,4,2,1,1,1,2,1,1
"91",4,1,6,0,2,3,1,"Male",70,"High School","Unemployed","White","None","Married",3,4,1,2,2,2,2,2,2,3
"92",10,2,2,1,1,1,1,"Male",34,"High School","Full Time","White","Other","Married",2,2,4,2,1,1,1,2,1,2
"93",10,1,1,1,1,1,1,"Male",52,"Degree","Full Time","Black","Christian","Married",1,1,2,1,1,1,1,2,1,1
"94",10,1,3,1,1,1,1,"Female",72,"High School","Full Time","White","Christian","Widowed",2,2,4,2,1,1,1,2,1,2
"95",6,10,4,1,3,4,1,"Male",43,"Degree","Full Time","Other","None","Married",1,3,1,2,1,-1,-1,2,2,2
"96",10,1,2,1,1,1,1,"Female",28,"High School","Part Time","Hispanic","Catholic","Married",1,3,2,2,1,1,1,2,1,2
"97",10,1,2,1,1,1,1,"Male",24,"Degree","Full Time","White","Other","Single",2,2,1,2,1,1,1,2,1,1
"98",3,1,6,0,2,3,1,"Female",41,"Some College","Self Employed","White","None","Married",2,5,1,3,2,2,1,2,2,2
"99",10,1,2,1,1,1,1,"Female",46,"Degree","Housewife","White","Christian","Married",2,3,4,2,1,1,1,2,1,2
"100",10,1,2,1,1,1,1,"Female",36,"Some College","Part Time","White","Christian","Married",1,3,2,1,1,1,1,2,1,2
"101",8,2,3,1,1,2,1,"Male",32,"High School","Full Time","White","Christian","Married",3,4,4,2,1,1,1,2,2,1
"102",10,1,1,1,1,1,1,"Male",25,"High School","Full Time","Hispanic","Christian","Married",3,1,5,1,1,1,1,2,1,1
"103",10,1,2,1,1,1,1,"Male",75,"Degree","Unemployed","White","Catholic","Married",1,3,3,3,1,1,1,2,1,2
"104",10,5,2,1,1,1,1,"Female",42,"High School","Full Time","Hispanic","Christian","Single",1,3,3,3,1,1,1,2,1,1
"105",2,1,7,0,3,4,1,"Male",24,"High School","Full Time","White","None","Married",4,5,1,5,1,2,1,2,2,2
"106",10,7,2,1,1,1,1,"Male",21,"Some College","Full Time","Other","Catholic","Single",1,3,4,4,1,1,1,2,1,1
"107",6,6,5,1,2,2,1,"Male",25,"High School","Full Time","White","None","Single",2,4,2,4,2,1,1,1,2,1
"108",8,4,4,1,1,2,1,"Male",21,"High School","Full Time","Other","Other","Single",1,2,1,3,1,1,1,2,2,2
"109",1,3,7,0,2,3,1,"Male",26,"Primary School","Full Time","Hispanic","None","Single",3,5,1,3,1,-1,2,1,2,2
"110",10,1,7,1,1,2,1,"Female",80,"High School","Unemployed","White","None","Widowed",3,4,1,5,1,2,1,2,2,1
"111",10,5,7,1,1,2,1,"Female",53,"Degree","Full Time","White","None","Married",2,4,2,4,1,2,1,1,2,1
"112",10,2,6,1,1,1,1,"Male",20,"High School","Part Time","White","Other","Single",2,4,3,3,1,1,1,2,1,1
"113",8,2,6,1,1,2,1,"Male",47,"Degree","Self Employed","White","None","Separated",3,3,3,3,1,2,1,2,2,1
"114",6,2,7,1,2,3,1,"Male",27,"Degree","Full Time","White","None","Married",3,3,3,3,1,1,1,2,2,2
"115",8,1,7,1,1,3,1,"Female",65,"High School","Self Employed","White","None","Separated",2,4,2,4,1,2,1,2,1,2
"116",10,1,7,1,1,1,1,"Female",29,"Primary School","Unemployed","Black","Other","Married",2,3,2,2,1,1,1,2,2,1
"117",9,7,4,1,1,1,1,"Female",29,"Primary School","Housewife","White","Other","Separated",2,3,2,3,1,1,1,2,2,2
"118",4,2,5,1,-1,3,1,"Male",21,"Some College","Part Time","White","None","Single",3,4,4,3,1,-1,1,1,2,1
"119",10,2,7,1,2,3,1,"Female",41,"High School","Part Time","Hispanic","None","Single",3,5,2,4,1,2,1,1,2,1
"120",9,2,6,1,1,1,1,"Female",44,"Primary School","Unemployed","Hispanic","None","Separated",-1,-1,4,3,1,1,1,1,2,2
"121",10,1,2,1,1,2,1,"Male",79,"Primary School","Unemployed","White","Catholic","Married",1,4,4,2,1,1,1,2,1,1
"122",10,1,3,1,1,1,1,"Female",32,"High School","Part Time","White","None","Married",3,3,2,2,1,1,1,2,2,1
"123",10,1,2,1,1,1,1,"Female",64,"High School","Full Time","White","Catholic","Married",1,1,1,1,1,1,1,2,1,1
"124",10,1,2,1,1,1,1,"Female",47,"High School","Full Time","White","Catholic","Single",1,4,3,3,1,1,1,2,1,1
"125",10,2,2,1,1,2,1,"Male",46,"High School","Full Time","White","Christian","Single",2,2,2,1,1,1,1,2,1,1
"126",10,1,3,1,1,1,1,"Female",62,"High School","Unemployed","White","Christian","Separated",1,1,1,3,1,1,1,2,1,1
"127",9,7,4,1,1,1,1,"Female",63,"Degree","Full Time","White","Catholic","Married",2,1,5,1,1,1,1,2,1,1
"128",8,1,2,0,2,1,1,"Female",46,"High School","Full Time","White","Catholic","Married",1,4,4,3,1,1,1,2,1,2
"129",8,2,4,1,1,1,1,"Female",42,"Degree","Part Time","Black","Catholic","Married",2,3,3,3,1,1,1,2,1,1
"130",10,1,2,1,1,1,1,"Female",31,"Some College","Full Time","White","Other","Widowed",1,3,2,1,1,1,1,2,1,1
"131",8,5,2,1,1,1,1,"Male",37,"High School","Full Time","White","Catholic","Separated",2,1,5,1,1,1,1,2,1,1
"132",10,5,3,1,1,1,1,"Female",19,"High School","Part Time","White","Christian","Single",1,3,3,1,1,1,1,2,1,1
"133",10,3,3,1,1,1,1,"Male",35,"High School","Full Time","White","Other","Married",1,1,4,1,1,1,1,2,1,1
"134",10,1,3,1,1,1,1,"Female",43,"High School","Full Time","White","Other","Single",1,3,3,3,1,1,1,2,1,2
"135",10,7,7,1,2,2,1,"Female",75,"High School","Unemployed","White","Judaism","Married",3,4,2,4,1,2,1,1,2,1
"136",9,1,3,1,1,1,1,"Female",67,"High School","Unemployed","White","Judaism","Married",2,3,1,5,1,1,1,2,1,1
"137",10,1,5,1,2,1,1,"Male",76,"Some College","Part Time","White","Judaism","Married",3,2,1,4,1,-1,1,2,2,2
"138",10,1,4,1,1,1,1,"Male",82,"High School","Self Employed","White","Judaism","Married",3,4,2,5,1,1,1,2,1,1
"139",4,3,7,1,1,1,1,"Female",40,"Some College","Full Time","White","None","Separated",3,2,1,4,1,1,1,2,2,2
"140",7,1,4,1,2,2,1,"Male",54,"High School","Unemployed","White","Judaism","Married",3,3,2,4,1,2,1,2,1,2
"141",9,1,2,1,1,1,1,"Female",82,"Primary School","Unemployed","White","Judaism","Widowed",3,4,-1,4,1,2,1,-1,1,2
"142",10,2,2,1,1,1,1,"Female",76,"High School","Unemployed","White","Catholic","Married",2,1,1,4,1,1,1,2,2,2
"143",10,4,2,1,1,2,1,"Female",76,"High School","Unemployed","White","Catholic","Widowed",2,3,1,3,-1,-1,1,2,2,3
"144",10,1,1,1,1,1,1,"Female",57,"High School","Unemployed","White","Judaism","Widowed",1,4,4,2,1,1,1,2,1,1
"145",10,2,2,1,1,1,1,"Female",42,"Degree","Self Employed","Hispanic","Catholic","Separated",1,2,4,2,1,1,1,2,1,1
"146",10,1,7,1,1,1,1,"Female",19,"Some College","Part Time","Hispanic",NA,"Single",3,2,4,3,1,-1,1,2,2,1
"147",10,5,4,1,1,3,1,"Male",21,"Some College","Full Time","Hispanic","Catholic","Single",3,3,2,2,1,1,1,2,2,1
"148",10,1,2,1,1,1,1,"Female",38,"High School","Self Employed","Hispanic","Christian","Married",1,3,1,2,1,1,1,2,1,1
"149",5,1,6,1,1,4,1,"Male",23,"Degree","Part Time","White","Catholic","Single",4,3,3,3,1,1,1,2,2,1
"150",3,4,7,1,1,4,1,"Female",59,"Some College","Unemployed","White","None","Married",4,5,1,5,1,1,1,2,2,2
"151",8,1,7,0,1,1,1,"Male",24,"Degree","Other","Hispanic","None","Single",4,5,1,5,1,1,1,-1,2,2
"152",10,6,4,1,1,3,1,"Male",24,"Degree","Full Time","Hispanic","Catholic","Single",4,5,1,3,1,1,1,2,2,4
"153",1,2,7,1,2,1,1,"Male",24,"Degree","Full Time","White","None","Married",4,3,3,3,2,2,2,2,2,2
"154",10,1,4,1,1,2,1,"Female",22,"High School","Full Time","Hispanic",NA,"Married",2,3,4,2,1,1,1,2,1,1
"155",4,2,4,1,1,1,1,"Male",52,"Degree","Full Time","Hispanic","Catholic","Married",1,3,3,3,1,1,1,2,2,1
"156",10,1,2,1,1,1,1,"Female",32,"Some College","Housewife","White","Christian","Married",2,2,5,1,1,1,1,2,2,2
"157",7,6,3,1,1,1,1,"Male",51,"Degree","Full Time","White","Other","Single",2,4,5,2,1,1,1,2,1,1
"158",7,9,2,1,2,1,1,"Female",42,"High School","Full Time","Black","Catholic","Single",4,1,3,1,1,1,1,-1,1,2
"159",10,1,2,1,1,3,1,"Male",38,"Degree","Full Time","Other","Other","Married",2,4,2,1,1,1,1,2,1,1
"160",10,1,1,1,1,1,1,"Male",57,"High School","Full Time","White",NA,"Married",4,1,1,1,2,1,1,2,1,1
"161",10,2,1,1,1,1,1,"Female",43,"Degree","Full Time","Black","Other","Single",1,4,4,3,1,1,1,2,1,1
"162",10,1,3,1,2,1,1,"Female",26,"High School","Full Time","Black","None","Single",2,4,2,2,1,1,1,2,2,1
"163",10,10,5,1,1,1,1,"Female",34,"Degree","Self Employed","Black","None","Married",4,1,1,1,1,1,1,2,2,1
"164",9,10,5,1,1,1,1,"Male",38,"High School","Full Time","White","None","Married",3,1,1,1,1,1,1,2,2,1
"165",10,10,7,1,1,2,1,"Male",47,"High School","Self Employed","White","None","Single",3,4,1,4,1,1,1,2,2,1
"166",10,1,1,1,1,1,1,"Female",33,"High School","Full Time","White","Other","Single",2,1,3,1,1,1,1,2,1,1
"167",10,10,6,1,1,1,1,"Male",53,"Primary School","Full Time","White",NA,"Separated",4,2,1,2,1,2,1,1,2,2
"168",9,9,4,1,1,1,1,"Male",57,"High School","Full Time","Other","None","Married",3,1,1,1,1,1,1,2,2,1
"169",9,1,5,1,1,2,1,"Female",39,"Some College","Full Time","White","None","Married",1,3,2,2,1,1,1,2,2,1
"170",10,7,3,1,1,1,1,"Male",36,"Degree","Full Time","White","Catholic","Separated",2,2,3,2,1,1,1,2,1,2
"171",10,1,1,1,1,1,1,"Female",33,"Some College","Housewife","White","Christian","Married",1,2,4,2,1,1,1,2,1,1
"172",7,2,2,1,2,2,1,"Male",58,"Degree","Full Time","White","Christian","Married",2,3,4,2,2,2,1,2,1,4
"173",10,1,2,1,1,1,1,"Female",39,"High School","Part Time","White","Christian","Married",1,1,4,1,1,1,1,2,1,1
"174",5,4,6,0,1,1,1,"Female",62,"High School","Housewife","White",NA,"Married",1,2,5,3,1,1,1,2,2,2
"175",10,1,2,1,1,1,1,"Female",61,"Some College","Unemployed","White","Christian","Married",1,2,2,2,1,1,1,2,1,1
"176",10,10,3,1,1,2,1,"Female",41,"Some College","Self Employed","Other",NA,"Married",3,2,3,3,1,1,1,2,1,1
"177",6,4,3,1,1,1,1,"Female",61,"High School","Unemployed","White","None","Married",1,1,1,1,1,1,1,2,2,1
"178",6,1,6,1,2,2,1,"Male",32,"Some College","Part Time","Hispanic","Catholic","Single",3,3,1,4,1,-1,1,2,2,1
"179",10,1,1,1,1,1,1,"Female",37,"Degree","Housewife","White","Christian","Married",1,3,4,2,1,1,1,2,1,1
"180",4,6,6,0,-1,3,1,"Female",18,"High School","Part Time","White",NA,"Married",1,1,3,2,1,1,1,2,2,3
"181",10,1,2,1,1,1,1,"Female",48,"Primary School","Part Time","White","Catholic","Married",2,2,1,1,1,1,1,2,1,2
"182",4,1,7,1,2,1,1,"Female",28,"High School","Full Time","Hispanic","Catholic","Single",3,2,2,5,1,1,1,1,2,1
"183",10,1,6,1,1,1,1,"Male",28,"High School","Full Time","White","Catholic","Single",2,5,4,1,1,1,1,2,2,1
"184",10,6,1,1,1,1,1,"Male",20,"Some College","Other","Other","Catholic","Single",1,4,5,1,1,1,1,2,1,2
"185",7,1,2,0,2,2,1,"Female",51,"Some College","Part Time","White","Christian","Married",2,1,1,2,1,1,1,2,1,2
"186",6,1,3,1,2,4,1,"Female",72,"Some College","Housewife","White","Other","Married",2,4,1,4,1,2,1,2,1,1
"187",10,1,3,1,1,4,1,"Female",24,"High School","Full Time","Hispanic","None","Single",1,1,2,1,1,1,1,2,2,1
"188",10,1,3,1,1,1,1,"Male",38,"High School","Full Time","Hispanic","None","Married",1,2,4,2,1,1,1,2,1,4
"189",10,1,2,1,1,2,1,"Male",18,"Primary School","Part Time","White","Other","Single",2,2,2,2,1,1,1,2,2,1
"190",10,9,7,1,1,1,1,"Female",18,"Primary School","Other","White","Catholic","Single",2,3,2,4,1,1,1,2,2,1
"191",10,10,5,1,1,1,1,"Male",23,"Primary School","Full Time","White","None","Single",3,1,2,1,1,1,1,2,2,1
"192",10,1,2,1,1,2,1,"Male",22,"Primary School","Full Time","White","None","Single",2,4,5,-1,1,1,1,2,1,2
"193",8,10,5,1,1,1,1,"Female",44,"Primary School","Full Time","White","Catholic","Married",1,4,2,4,1,1,1,2,2,4
"194",7,3,3,0,1,1,1,"Female",31,"Degree","Full Time","White","Catholic","Married",1,3,-1,5,1,1,1,2,1,1
"195",8,1,1,1,1,1,1,"Female",36,"Degree","Part Time","White",NA,"Married",1,2,3,4,1,1,1,2,1,2
"196",10,1,5,1,1,1,1,"Female",50,"Primary School","Full Time","White","Catholic","Married",3,4,1,4,1,1,1,1,1,1
"197",10,3,1,1,1,2,1,"Female",26,"Primary School","Housewife","White","Other","Married",1,3,3,3,1,1,1,2,1,1
"198",8,10,5,1,1,3,1,"Male",40,"Degree","Full Time","White","Other","Single",1,2,3,4,1,1,1,2,2,1
"199",9,1,6,1,1,1,1,"Female",63,"Primary School","Other","White","Catholic","Married",1,3,2,3,1,1,1,2,2,1
"200",8,1,5,1,1,1,1,"Female",37,"Degree","Full Time","White","None","Married",3,2,3,2,1,1,1,2,2,2
"201",10,1,2,1,1,1,1,"Female",40,"Primary School","Part Time","White",NA,"Married",2,1,4,1,1,1,1,2,1,2
"202",10,1,1,1,1,1,1,"Female",34,"Primary School","Part Time","White",NA,"Married",1,2,2,3,1,1,1,2,1,2
"203",7,1,5,NA,1,2,1,"Female",36,NA,"Full Time","White","None","Single",2,2,3,2,1,1,1,2,2,2
"204",9,5,3,1,1,2,1,"Male",32,"Primary School","Full Time","White","Catholic","Single",2,3,3,3,1,1,1,1,1,1
"205",10,1,2,1,1,1,1,"Female",27,"High School","Full Time","Black","Other","Single",1,3,3,3,1,1,1,2,1,2
"206",10,1,1,1,1,1,1,"Female",49,"High School","Full Time","White","Other","Married",2,3,4,2,1,1,1,2,1,2
"207",7,7,7,1,2,2,1,"Male",19,"High School","Part Time","White","None","Single",1,3,3,3,1,1,1,2,2,3
"208",10,1,2,1,1,1,1,"Female",28,"Degree","Full Time","White","Other","Married",1,3,3,3,1,1,1,2,1,1
"209",10,1,2,1,1,1,1,"Female",52,"Degree","Full Time","White","Christian","Married",1,4,4,2,1,1,1,2,1,1
"210",10,1,3,1,1,1,1,"Male",42,"Some College","Full Time","White","Christian","Separated",2,4,2,4,1,1,1,2,1,1
"211",10,1,1,1,1,1,1,"Female",41,"Primary School","Part Time","White","Catholic","Married",1,1,2,2,1,1,1,2,1,1
"212",7,2,2,0,2,2,1,"Male",48,"Degree","Full Time","White","Catholic","Married",3,4,2,4,1,1,1,2,2,1
"213",8,1,7,1,1,3,1,"Female",45,"High School","Full Time","White","Christian","Married",4,2,1,5,1,1,1,1,2,1
"214",9,1,3,1,1,2,1,"Male",55,"Some College","Unemployed","White","Christian","Separated",3,4,4,2,1,1,1,2,1,1
"215",10,1,1,1,1,1,1,"Female",38,"Degree","Part Time","White","Christian","Married",1,2,4,2,1,1,1,2,1,2
"216",7,1,3,1,1,2,1,"Male",23,"High School","Full Time","White","Other","Single",1,2,2,4,1,1,1,2,2,4
"217",10,2,1,1,1,1,1,"Male",37,"Degree","Self Employed","Black","None","Married",1,2,4,1,1,1,1,2,1,1
"218",10,7,4,1,1,1,1,"Female",24,"High School","Full Time","Black","None","Single",1,1,3,1,1,1,1,2,2,1
"219",10,5,2,1,1,1,1,"Male",25,"Some College","Full Time","Black","Christian","Single",1,1,2,4,1,1,1,2,1,3
"220",10,1,3,0,1,1,1,"Female",21,"High School","Part Time","Black","None","Single",1,2,2,2,1,1,1,2,2,1
