"","pubblf1","prvblf4","othblf","pubact","pubact3","prvact","prvact2","iden1","iden2","prvblf","wave","sex","age","educ","work","ethnic","denom","marital"
"36",4,1,5,4,1,1,4,1,1,6,3,"Female",31,"High School","Full Time","Black","Other","Single"
"37",3,1,2,7,0,1,1,1,2,9,3,"Female",32,"Degree","Other","White","None","Married"
"38",1,1,1,1,2,1,2,1,1,10,3,"Male",80,"High School","Unemployed","White","Christian","Widowed"
"39",1,1,1,2,2,1,1,1,1,10,3,"Male",22,"Some College","Unemployed","White","Catholic","Single"
"40",2,1,1,2,1,1,3,2,3,6,3,"Male",43,"Degree","Full Time","White","Christian","Married"
"41",3,1,2,7,0,0,1,2,3,3,3,"Male",33,"Degree","Full Time","White","None","Married"
"42",1,1,1,NA,2,1,2,1,1,10,3,"Female",41,"Degree","Full Time","White","Christian","Married"
"43",2,1,1,2,2,1,1,1,2,10,3,"Male",66,"Degree","Unemployed","White","Catholic","Married"
"44",4,1,1,1,2,1,3,1,1,10,3,"Female",65,"High School","Housewife","Black","Other","Married"
"45",3,1,2,2,2,1,1,2,2,10,3,"Female",51,"Degree","Full Time","White","Christian","Married"
"46",3,1,1,7,0,1,2,2,3,7,3,"Male",43,"Some College","Unemployed","White","Christian","Married"
"47",3,1,3,7,0,1,1,2,3,10,3,"Male",49,"Some College","Self Employed","White","None","Married"
"48",3,1,4,7,0,1,1,1,3,7,3,"Male",48,"Degree","Full Time","White","Christian","Single"
"49",2,1,1,6,1,1,2,1,2,9,3,"Male",57,"Some College","Full Time","White","Christian","Married"
"50",1,1,7,5,1,1,2,1,1,10,3,"Female",21,"Degree","Part Time","White","None","Single"
"51",2,1,5,5,0,1,1,1,1,10,3,"Female",55,"Some College","Full Time","White","None","Married"
"52",1,1,1,2,2,1,2,1,1,10,3,"Female",55,"Degree","Housewife","White","Other","Married"
"53",3,2,2,7,1,0,1,3,4,1,3,"Male",23,"Degree","Part Time","White","None","Single"
"54",2,1,1,2,2,1,2,1,1,10,3,"Female",42,"Degree","Other","White","Christian","Married"
"55",2,1,1,6,0,1,1,1,1,10,3,"Female",49,"High School","Part Time","White","Catholic","Married"
"56",3,1,4,6,0,1,2,1,3,6,3,"Female",25,"Degree","Unemployed","Other","Other","Married"
"57",2,1,4,2,2,1,3,1,2,4,3,"Female",20,"Some College","Unemployed","Other","Other","Single"
"58",2,1,5,7,1,1,1,1,1,10,3,"Female",55,"High School","Full Time","White","None","Married"
"59",3,1,1,7,0,1,1,2,3,6,3,"Female",61,"High School","Part Time","White","None","Married"
"60",2,1,1,2,2,1,2,1,1,10,3,"Male",81,"Degree","Unemployed","White","Christian","Married"
"61",2,1,1,3,1,1,2,2,3,3,3,"Female",35,"Degree","Part Time","White","Christian","Married"
"62",4,2,1,7,0,0,3,2,4,1,3,"Female",71,"Some College","Unemployed","White","None","Separated"
"63",1,1,1,2,2,1,1,1,1,10,3,"Female",31,"Degree","Housewife","White","Other","Married"
"64",3,1,1,1,2,1,1,1,1,10,3,"Male",59,"Degree","Full Time","White","Other","Married"
"65",2,1,1,2,2,1,1,1,1,10,3,"Female",34,"Degree","Full Time","White","Christian","Married"
"66",2,1,1,4,1,1,2,1,1,10,3,"Male",63,"Degree","Unemployed","White","Other","Separated"
"67",2,1,3,4,1,1,3,2,3,7,3,"Female",20,"High School","Part Time","White","Christian","Single"
"68",2,1,1,7,0,1,1,1,1,10,3,"Female",61,"High School","Part Time","White","Christian","Separated"
"69",2,1,1,7,1,1,2,1,2,10,3,"Female",21,"Some College","Part Time","White","Other","Single"
"70",3,1,1,4,1,1,1,1,1,9,3,"Female",49,"Degree","Other","White","Judaism","Single"
"71",2,1,1,3,2,1,4,1,2,8,3,"Male",32,"Degree","Full Time","White","Christian","Married"
"72",4,1,1,7,0,1,3,2,4,6,3,"Male",67,"Degree","Unemployed","Other","None","Married"
"73",3,1,1,6,0,0,2,2,4,5,3,"Male",39,"Degree","Full Time","White","None","Single"
"74",3,2,6,7,0,0,2,1,2,8,3,"Male",30,"Some College","Part Time","Other","Other","Single"
"75",1,1,1,1,2,1,1,1,1,10,3,"Female",29,"Degree","Full Time","White","Christian","Married"
"76",3,1,1,6,0,1,2,1,2,6,3,"Male",64,"High School","Unemployed","White","Catholic","Married"
"77",3,1,1,7,0,1,2,1,4,7,3,"Female",56,"High School","Part Time","White","None","Married"
"78",3,1,1,7,1,0,1,1,3,6,3,"Female",66,"Degree","Unemployed","White","Christian","Separated"
"79",3,1,2,7,0,1,2,1,3,10,3,"Male",43,"High School","Full Time","White","None","Separated"
"80",3,1,2,6,1,0,3,2,3,2,3,"Male",68,"Degree","Unemployed","White","Christian","Married"
"81",3,1,1,2,2,1,2,1,1,10,3,"Female",33,"Degree","Full Time","Black","Other","Married"
"82",3,1,5,7,0,1,2,1,1,10,3,"Female",55,"Some College","Unemployed","Black","Other","Separated"
"83",3,1,2,2,2,1,2,1,1,10,3,"Female",25,"Degree","Other","White","Christian","Married"
"84",2,1,1,5,2,1,2,2,3,7,3,"Male",83,"High School","Unemployed","White","Christian","Widowed"
"85",2,1,1,7,0,1,1,1,2,9,3,"Female",46,"Some College","Other","White","None","Single"
"86",2,1,3,4,2,0,3,2,2,6,3,"Male",41,"Degree","Full Time","White","Judaism","Married"
"87",1,1,1,1,2,1,2,1,NA,10,3,"Female",54,"High School","Unemployed","White","Other","Married"
"88",1,1,1,2,2,NA,1,1,1,10,3,"Male",64,"Degree","Self Employed","Other","Catholic","Married"
"89",3,1,1,7,0,1,4,1,2,6,3,"Male",62,"Degree","Unemployed","White","None","Married"
"90",NA,1,NA,3,1,1,NA,1,2,7,3,"Male",27,"High School","Other","Other","Christian","Single"
"91",2,1,1,2,2,1,1,1,2,10,3,"Male",27,"Degree","Full Time","White","Christian","Single"
"92",3,1,1,7,0,1,1,1,1,10,3,"Female",77,"High School","Unemployed","Other","Christian","Widowed"
"93",2,1,1,2,2,1,2,2,2,7,3,"Male",48,"Degree","Full Time","White","Christian","Married"
"94",1,1,1,2,2,1,3,1,1,10,3,"Male",74,"Degree","Unemployed","White","Christian","Married"
"95",2,1,2,6,0,1,1,1,1,10,3,"Female",23,"Some College","Housewife","Black","Other","Married"
"96",4,2,1,7,0,0,1,2,4,1,3,"Female",47,"High School","Unemployed","White","None","Married"
"97",3,2,1,7,0,0,2,3,4,1,3,"Female",66,"Degree","Part Time","White","None","Separated"
"98",3,2,1,7,0,0,2,2,3,4,3,"Female",56,"Degree","Self Employed","White","None","Single"
"99",3,1,1,4,1,0,2,1,3,5,3,"Female",47,"High School","Housewife","White","Catholic","Married"
"100",1,1,2,2,2,1,1,1,1,8,3,"Male",72,"Degree","Unemployed","White","Catholic","Married"
"101",4,2,8,7,0,0,4,2,4,1,3,"Male",29,"Degree","Full Time","White","None","Married"
"102",3,2,6,7,0,0,2,3,4,7,3,"Female",31,"Degree","Housewife","Other","None","Married"
"103",1,1,2,5,0,1,1,1,1,10,3,"Male",18,"High School","Other","Black","None","Single"
"104",1,1,1,2,2,1,1,1,1,10,3,"Female",23,"Degree","Full Time","White","Other","Married"
"105",4,2,1,7,0,0,2,2,4,1,3,"Male",49,"Degree","Full Time","White","None","Single"
"106",2,1,1,2,2,1,2,1,1,9,3,"Female",85,"Some College","Unemployed","Other","Christian","Widowed"
"107",3,2,2,7,0,0,1,3,4,2,3,"Male",25,"High School","Unemployed","White","None","Single"
"108",3,1,1,3,1,1,2,1,3,8,3,"Male",46,"High School","Full Time","Other","Christian","Separated"
"109",3,2,1,7,0,0,1,2,4,1,3,"Female",48,"Degree","Full Time","White","Christian","Single"
"110",2,1,1,7,1,1,2,1,2,10,3,"Male",43,"High School","Full Time","White","Catholic","Married"
"111",1,1,1,2,2,1,1,1,1,8,3,"Male",74,"Degree","Unemployed","White","Catholic","Married"
"112",1,1,9,2,2,1,1,1,1,10,3,"Female",24,"Some College","Housewife","White","Catholic","Married"
"113",2,1,1,2,2,1,2,1,1,10,3,"Female",49,"Degree","Full Time","White","Other","Separated"
"114",3,1,5,7,0,0,2,3,2,5,3,"Male",56,"High School","Full Time","White","None","Married"
"115",3,1,1,6,1,1,2,1,2,10,3,"Male",63,"Degree","Unemployed","White","Christian","Married"
"116",2,1,1,7,0,0,2,2,3,2,3,"Male",69,"Degree","Unemployed","White","None","Married"
"117",2,1,1,4,1,1,3,1,2,8,3,"Female",19,"Some College","Other","White","Christian","Single"
"118",3,1,2,7,0,1,2,1,3,8,3,"Female",45,"Degree","Full Time","White","Catholic","Single"
"119",2,1,1,1,2,1,2,1,1,10,3,"Male",73,"Some College","Unemployed","Black","Christian","Married"
"120",3,1,1,5,1,1,1,1,1,10,3,"Female",57,"Some College","Unemployed","White","Catholic","Single"
"121",3,1,2,7,0,1,2,1,3,9,3,"Male",33,"Some College","Full Time","White","None","Married"
"122",2,1,1,1,2,1,3,2,1,10,3,"Male",69,"Some College","Self Employed","White","Christian","Married"
"123",4,1,2,7,0,1,3,2,4,6,3,"Male",64,"Some College","Unemployed","White","None","Married"
"124",2,1,1,3,1,1,2,1,2,10,3,"Male",50,"Primary School","Unemployed","White","Christian","Married"
"125",3,2,3,7,0,0,3,2,4,1,3,"Female",40,"Degree","Full Time","White","None","Married"
"126",2,1,1,6,1,1,1,1,1,10,3,"Male",77,"High School","Unemployed","White","Catholic","Widowed"
"127",2,1,1,2,2,1,3,1,2,9,3,"Female",54,"High School","Full Time","Other","Christian","Married"
"128",1,1,1,2,2,1,1,1,1,10,3,"Female",62,"Degree","Full Time","White","Christian","Separated"
"129",1,1,10,4,1,0,2,2,2,8,3,"Male",74,"High School","Unemployed","White","Christian","Married"
"130",3,1,1,6,0,0,2,2,3,7,3,"Male",31,"Degree","Full Time","White","None","Married"
"131",1,1,1,3,1,1,1,1,1,10,3,"Female",50,"Some College","Full Time","White","Catholic","Married"
"132",4,2,5,7,0,0,2,3,4,1,3,"Female",55,"Degree","Self Employed","White","Judaism","Married"
"133",3,1,1,5,1,1,2,1,2,9,3,"Female",54,"Some College","Full Time","White","Christian","Married"
"134",1,1,1,1,2,1,2,1,1,9,3,"Male",69,"High School","Other","White","Christian","Separated"
"135",2,1,1,2,2,1,3,1,2,8,3,"Female",49,"Degree","Full Time","White","Christian","Married"
"136",2,1,1,3,2,1,2,1,2,9,3,"Female",64,"High School","Housewife","White","Catholic","Married"
"137",2,1,1,2,1,1,2,1,1,10,3,"Male",79,"Degree","Unemployed","White","Christian","Married"
"138",1,1,1,1,2,1,2,1,1,10,3,"Male",74,"Some College","Unemployed","White","Other","Married"
"139",2,1,1,7,1,0,1,2,3,9,3,"Female",82,"Degree","Unemployed","White","Catholic","Married"
"140",1,1,1,6,1,NA,4,1,2,10,3,"Female",60,"Degree","Unemployed","White","Catholic","Married"
"141",2,1,1,1,2,1,2,1,1,10,3,"Male",21,"Some College","Part Time","Black","Christian","Single"
"142",NA,2,2,7,0,0,2,2,4,1,3,"Male",63,"Degree","Unemployed","White","None","Married"
"143",2,1,1,1,2,1,3,1,1,10,3,"Female",70,"High School","Unemployed","White","Christian","Married"
"144",2,1,1,1,2,1,1,1,1,10,3,"Female",41,"High School","Housewife","White","Christian","Married"
"145",2,1,1,2,2,1,3,2,2,7,3,"Male",45,"Some College","Full Time","White","Christian","Married"
"146",4,1,1,7,0,0,1,2,4,7,3,"Male",21,"Some College","Part Time","White","None","Single"
"147",3,1,3,6,0,1,2,1,3,9,3,"Female",36,"Degree","Unemployed","White","Catholic","Married"
"148",3,1,1,2,2,1,1,2,1,10,3,"Female",72,"High School","Unemployed","White","Other","Married"
"149",2,1,1,3,2,1,2,1,1,9,3,"Male",60,"Degree","Unemployed","White","Christian","Married"
"150",1,1,1,1,2,1,3,1,1,10,3,"Female",66,"High School","Other","White","Christian","Widowed"
"151",2,1,1,1,2,1,1,1,1,10,3,"Female",52,"High School","Part Time","White","Other","Married"
"152",2,1,1,3,1,1,2,1,2,9,3,"Female",48,"Degree","Housewife","White","Christian","Married"
"153",2,1,2,4,1,1,3,1,2,7,3,"Male",21,"Some College","Part Time","White","Christian","Single"
"154",2,1,1,2,2,1,1,1,2,9,3,"Female",64,"High School","Unemployed","White","Catholic","Married"
"155",1,1,1,5,1,1,2,2,3,10,3,"Female",20,"Some College","Other","White","None","Single"
"156",3,1,1,7,0,1,4,2,3,8,3,"Female",47,"High School","Full Time","White","None","Married"
"157",1,1,1,2,2,1,3,1,2,8,3,"Male",26,"Degree","Full Time","White","Catholic","Married"
"158",4,2,1,7,0,0,3,3,4,1,3,"Female",31,"Degree","Full Time","White","None","Married"
"159",2,1,1,7,0,1,1,1,1,10,3,"Female",58,"High School","Unemployed","White","Other","Widowed"
"160",4,2,2,7,0,0,2,3,4,1,3,"Male",38,"Some College","Full Time","White","None","Married"
"161",3,1,1,4,2,1,1,1,2,10,3,"Male",50,"Degree","Part Time","Hispanic","Catholic","Married"
"162",3,1,1,2,2,1,2,1,2,9,3,"Male",58,"Degree","Full Time","White","Judaism","Married"
"163",3,1,1,4,2,1,2,1,2,10,3,"Female",68,"Degree","Unemployed","White","Catholic","Widowed"
"164",NA,NA,10,NA,NA,NA,NA,NA,NA,NA,3,"Male",25,"Some College",NA,"White",NA,"Single"
"165",2,1,6,7,0,0,2,2,2,10,3,"Female",56,"High School","Full Time","White","None","Married"
"166",1,1,5,2,2,1,2,1,1,10,3,"Male",37,"Degree","Full Time","White","Other","Married"
"167",3,1,2,7,0,1,3,2,3,8,3,"Female",47,"Degree","Full Time","Other","None","Married"
"168",1,1,10,7,0,1,1,2,1,10,3,"Male",53,"High School","Unemployed","Black","None","Single"
"169",2,1,1,5,1,1,2,2,2,10,3,"Male",59,"Some College","Full Time","White","Christian","Married"
"170",1,1,1,2,2,1,1,2,2,10,3,"Male",54,"High School","Unemployed","White","Other","Married"
"171",4,2,1,7,0,0,4,2,4,1,3,"Female",52,"Degree","Full Time","White","None","Single"
"172",1,1,2,1,2,1,1,1,1,9,3,"Female",37,"Degree","Housewife","White","Catholic","Married"
"173",4,2,1,7,0,0,2,3,4,1,3,"Female",57,"Degree","Full Time","White","None","Married"
"174",2,1,1,6,0,1,2,1,2,10,3,"Female",55,"High School","Housewife","White","Christian","Married"
"175",3,1,1,3,1,1,2,1,1,10,3,"Male",22,"Degree","Full Time","White","Judaism","Single"
"176",2,1,1,2,2,1,1,1,1,10,3,"Female",28,"High School","Full Time","Hispanic","Catholic","Married"
"177",1,1,1,2,2,1,2,1,1,10,3,"Female",72,"Some College","Self Employed","White","Christian","Married"
"178",2,1,1,6,0,1,2,1,1,10,3,"Female",46,"High School","Other","Other","Other","Married"
"179",2,1,1,2,2,1,2,1,2,8,3,"Female",25,"Degree","Full Time","White","Catholic","Married"
"180",3,1,1,7,0,0,2,2,4,3,3,"Female",35,"Some College","Full Time","White","None","Married"
"181",1,1,1,1,2,1,1,1,1,10,3,"Female",50,"Primary School","Housewife","Hispanic","Catholic","Married"
"182",2,1,1,5,1,1,2,1,2,10,3,"Male",59,"Some College","Full Time","White","Catholic","Married"
"183",3,2,2,7,0,0,1,3,4,1,3,"Male",41,"Degree","Full Time","White","None","Married"
"184",3,1,5,7,0,1,1,1,3,8,3,"Female",39,"Some College","Self Employed","White","Other","Married"
"185",1,1,1,4,1,0,1,1,3,7,3,"Male",69,"High School","Self Employed","White","Catholic","Widowed"
"186",2,1,1,7,1,1,2,1,2,10,3,"Male",70,"High School","Unemployed","White","Christian","Married"
"187",4,2,1,7,0,0,2,2,4,1,3,"Female",71,"High School","Unemployed","White","Judaism","Married"
"188",2,1,1,7,0,0,2,2,4,1,3,"Male",37,"High School","Self Employed","White","None","Married"
"189",2,1,1,2,1,1,1,1,1,10,3,"Female",49,"Degree","Housewife","White","Christian","Married"
"190",2,1,1,6,0,0,2,2,1,5,3,"Female",85,"High School","Unemployed","White","Christian","Widowed"
"191",2,1,1,7,0,1,3,1,3,7,3,"Male",73,"High School","Unemployed","White","Catholic","Married"
"192",1,1,1,6,1,0,2,2,2,8,3,"Female",33,"Some College","Housewife","White","Catholic","Married"
"193",2,1,2,3,1,0,3,1,2,6,3,"Female",29,"Degree","Full Time","White","Christian","Single"
"194",3,1,2,4,1,1,3,2,3,6,3,"Female",23,"Degree","Full Time","White","Christian","Single"
"195",3,1,1,7,0,1,2,1,2,9,3,"Male",38,"High School","Full Time","White","None","Married"
"196",3,1,2,5,0,1,2,2,4,7,3,"Female",66,"High School","Unemployed","White","Other","Married"
"197",3,1,1,7,0,0,2,2,3,5,3,"Male",50,"Some College","Self Employed","White","None","Separated"
"198",4,2,2,7,0,0,1,2,4,1,3,"Male",42,"Some College","Other","White","None","Single"
"199",2,1,1,2,2,1,2,1,1,10,3,"Female",27,"Some College","Part Time","White","Christian","Married"
"200",3,1,1,4,0,1,1,1,2,10,3,"Female",75,"Degree","Unemployed","White","Catholic","Separated"
"201",3,1,1,6,1,0,2,2,2,6,3,"Female",22,"Some College","Full Time","Hispanic","Catholic","Married"
"202",2,1,1,2,2,1,2,1,1,8,3,"Male",39,"Degree","Full Time","White","None","Married"
"203",1,1,1,1,2,1,2,1,1,10,3,"Male",21,"Some College","Full Time","White","Catholic","Single"
"204",3,1,2,5,0,1,1,2,3,7,3,"Female",35,"Degree","Full Time","Hispanic","None","Married"
"205",3,1,1,4,1,0,3,1,3,8,3,"Male",70,"Degree","Unemployed","White","Christian","Married"
"206",4,2,1,7,0,0,2,2,4,2,3,"Female",60,"Degree","Unemployed","White","None","Married"
"207",3,1,1,2,2,1,1,1,1,10,3,"Female",70,"Some College","Part Time","White","Christian","Separated"
"208",3,2,1,7,0,0,2,3,4,1,3,"Female",87,"Some College","Unemployed","White","None","Married"
"209",NA,1,1,2,2,1,1,1,1,10,3,"Male",52,"High School","Unemployed","White","Catholic","Separated"
"210",3,1,1,4,0,1,2,2,2,6,3,"Female",75,"High School","Unemployed","White","Catholic","Widowed"
"211",3,1,1,6,1,NA,2,1,1,10,3,"Female",65,"High School","Unemployed","White","Christian","Widowed"
"212",2,1,1,2,2,1,2,1,1,10,3,"Female",70,"Degree","Unemployed","White","Catholic","Married"
"213",4,2,2,7,0,0,1,2,4,1,3,"Female",23,"Some College","Other","White","None","Single"
"214",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,"Male",38,"Some College",NA,"White",NA,"Separated"
"215",2,1,1,2,2,1,1,1,1,10,3,"Male",58,"High School","Full Time","Hispanic","Catholic","Separated"
"216",1,1,1,7,2,0,1,2,1,9,3,"Male",59,"Primary School","Unemployed","Other","None","Married"
"217",1,1,1,3,0,1,1,1,1,10,3,"Male",26,"High School","Other","White","Other","Single"
"218",1,1,1,1,2,1,2,1,1,10,3,"Female",66,"Degree","Unemployed","White","Christian","Married"
"219",2,1,1,7,0,1,2,1,2,8,3,"Female",62,"High School","Unemployed","White","Catholic","Separated"
"220",2,1,1,6,1,0,2,2,3,3,3,"Male",84,"High School","Unemployed","Other","None","Married"
"221",3,2,2,7,0,0,3,3,4,1,3,"Male",44,"Degree","Self Employed","White","None","Single"
"222",2,1,1,3,2,1,3,1,2,8,3,"Male",64,"Degree","Unemployed","White","Christian","Single"
"223",2,1,1,5,1,1,2,1,2,8,3,"Female",56,"Degree","Part Time","White","Other","Married"
"224",2,1,6,2,2,1,1,1,1,10,3,"Female",47,"High School","Unemployed","Black","Other","Married"
"225",1,1,1,2,2,1,1,1,1,10,3,"Female",52,"Degree","Self Employed","White","Christian","Married"
"226",4,2,1,7,0,0,2,3,4,1,3,"Female",29,"Some College","Full Time","White","None","Married"
"227",3,2,1,7,0,0,1,3,3,3,3,"Female",70,"Degree","Unemployed","White","None","Married"
"228",2,1,1,2,2,1,1,1,1,10,3,"Male",33,"Degree","Full Time","White","Other","Married"
"229",2,1,1,4,0,1,2,1,1,10,3,"Female",70,"High School","Unemployed","White","Christian","Widowed"
"230",2,1,2,2,2,1,1,1,1,10,3,"Female",56,"Degree","Part Time","Black","Christian","Married"
"231",3,2,NA,7,0,0,1,2,3,1,3,"Male",57,"Some College","Full Time","White","None","Married"
"232",4,2,1,7,0,1,1,2,4,1,3,"Male",37,"Some College","Full Time","White","None","Married"
"233",2,NA,1,4,1,1,2,2,2,6,3,"Male",19,"High School","Full Time","White","Catholic","Single"
"234",3,1,2,5,0,0,3,1,3,7,3,"Female",38,"Degree","Full Time","White","Catholic","Single"
"235",1,1,1,6,1,1,1,1,1,10,3,"Female",36,"Some College","Housewife","White","Catholic","Married"
"236",2,1,5,7,0,1,2,1,2,8,3,"Female",31,"Degree","Full Time","White","None","Married"
"237",3,1,1,7,1,0,3,2,4,2,3,"Male",57,"High School","Full Time","White","Other","Married"
"238",3,1,1,1,2,1,1,1,1,10,3,"Female",62,"Some College","Unemployed","Black","Other","Separated"
"239",NA,1,2,7,0,0,1,1,3,3,3,"Female",70,"High School","Unemployed","White","None","Separated"
"240",2,1,1,7,1,1,2,1,2,10,3,"Male",28,"Degree","Full Time","White","Catholic","Married"
"241",2,1,1,2,2,1,2,1,1,10,3,"Male",77,"Degree","Unemployed","White","Christian","Married"
"242",3,1,1,7,0,1,2,2,3,7,3,"Female",33,"Degree","Housewife","White","None","Married"
"243",3,1,1,2,2,1,1,2,2,4,3,"Male",49,"Degree","Full Time","White","Christian","Married"
"244",1,1,1,3,2,1,3,1,1,10,3,"Female",83,"Some College","Unemployed","Other","Other","Widowed"
"245",3,1,1,7,0,1,4,1,4,10,3,"Male",72,"High School","Unemployed","White","None","Married"
"246",2,1,1,2,2,1,3,1,1,10,3,"Female",64,"High School","Unemployed","White","Christian","Married"
"247",3,1,1,2,1,1,2,1,2,8,3,"Female",20,"Some College","Full Time","Hispanic","None","Single"
"248",2,1,1,7,2,1,1,1,2,10,3,"Male",73,"Some College","Unemployed","White","Catholic","Separated"
"249",3,2,1,7,0,0,2,2,4,1,3,"Male",83,"Degree","Unemployed","White","None","Married"
"250",1,1,3,3,1,1,1,1,2,10,3,"Female",58,"Some College","Full Time","Other","Catholic","Married"
"251",3,2,1,7,0,0,2,2,3,1,3,"Female",39,"Degree","Unemployed","White","None","Married"
"252",3,1,2,4,0,1,1,1,1,10,3,"Male",67,"Some College","Unemployed","Other","None","Separated"
"253",2,1,3,6,0,0,3,1,2,10,3,"Female",37,"Degree","Full Time","Black","None","Single"
"254",1,1,1,2,2,1,1,1,1,10,3,"Female",84,"High School","Other","White","Christian","Married"
"255",3,1,1,6,0,1,1,2,2,5,3,"Male",71,"Some College","Unemployed","Other","Christian","Married"
"256",1,2,8,1,2,1,2,3,1,10,3,"Male",19,"High School","Part Time","White","Other","Single"
"257",3,1,1,7,1,1,2,1,1,10,3,"Female",67,"High School","Self Employed","White","Other","Married"
"258",1,1,1,2,2,1,2,1,1,9,3,"Male",72,"High School","Unemployed","White","Christian","Married"
"259",1,1,1,1,2,1,1,1,1,10,3,"Male",71,"Degree","Unemployed","White","Catholic","Married"
"260",3,1,2,7,1,1,1,2,2,7,3,"Male",29,"Degree","Unemployed","Other","None","Married"
"261",3,1,1,3,1,1,3,1,2,9,3,"Female",27,"High School","Housewife","Hispanic","Catholic","Married"
"262",4,1,1,7,0,0,2,2,3,1,3,"Female",26,"Degree","Full Time","White","None","Single"
"263",3,2,3,7,0,0,2,2,4,1,3,"Female",68,"Degree","Unemployed","White","None","Married"
"264",3,2,1,7,0,0,2,2,4,1,3,"Female",20,"High School","Part Time","White","None","Single"
"265",2,1,1,1,2,1,2,1,1,10,3,"Male",53,"High School","Unemployed","White","Other","Married"
"266",1,1,1,1,2,1,1,1,1,10,3,"Female",67,"Degree","Unemployed","White","Christian","Married"
"267",1,1,NA,NA,0,NA,2,NA,1,NA,3,"Male",19,"Degree","Other","White","Other","Single"
"268",4,2,2,7,0,0,2,2,4,1,3,"Male",56,"Degree","Full Time","Other","None","Married"
"269",2,1,3,2,2,1,3,1,2,10,3,"Female",30,"Degree","Full Time","White","Other","Married"
"270",2,1,1,7,0,1,3,1,2,10,3,"Male",38,"High School","Full Time","Hispanic","Catholic","Married"
"271",2,1,3,2,2,1,3,1,2,9,3,"Female",68,"High School","Unemployed","White","Catholic","Married"
